manudur,atvinnugrein,fjoldi,heildarfjoldi,hlutur
2001-08,Ferðaþjónusta ýmis,20,1747,0.011448
2001-08,Upplýsingar og fjarskipti,87,1747,0.049800
2001-08,Fjármála- og vátryggingastarfsemi,36,1747,0.020607
2001-08,Fasteignaviðskipti,8,1747,0.004579
2001-08,"Sérfræðileg, vísindaleg og tæknileg starfsemi",35,1747,0.020034
2001-08,Ýmis þjónustustarfsemi,70,1747,0.040069
2001-08,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",345,1747,0.197481
2001-08,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",101,1747,0.057813
2001-08,Annað,50,1747,0.028620
2001-09,Landbúnaður og skógrækt,19,1856,0.010237
2001-09,"Fiskveiðar, -eldi og -vinnsla",171,1856,0.092134
2001-09,Iðnaður,265,1856,0.142780
2001-09,Sorp og veitur,18,1856,0.009698
2001-09,Byggingastarfsemi og mannvirkjagerð,70,1856,0.037716
2001-09,Verslun og vöruflutningar,427,1856,0.230065
2001-09,Farþegaflutningar með flugi,7,1856,0.003772
2001-09,Gistiþjónusta,44,1856,0.023707
2001-09,Veitingaþjónusta,79,1856,0.042565
2001-09,Ferðaþjónusta ýmis,24,1856,0.012931
2001-09,Upplýsingar og fjarskipti,89,1856,0.047953
2001-09,Fjármála- og vátryggingastarfsemi,41,1856,0.022091
2001-09,Fasteignaviðskipti,8,1856,0.004310
2001-09,"Sérfræðileg, vísindaleg og tæknileg starfsemi",42,1856,0.022629
2001-09,Ýmis þjónustustarfsemi,69,1856,0.037177
2001-09,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",324,1856,0.174569
2001-09,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",94,1856,0.050647
2001-09,Annað,65,1856,0.035022
2001-10,Landbúnaður og skógrækt,26,2208,0.011775
2001-10,"Fiskveiðar, -eldi og -vinnsla",194,2208,0.087862
2001-10,Iðnaður,322,2208,0.145833
2001-10,Sorp og veitur,23,2208,0.010417
2001-10,Byggingastarfsemi og mannvirkjagerð,125,2208,0.056612
2001-10,Verslun og vöruflutningar,495,2208,0.224185
2001-10,Farþegaflutningar með flugi,12,2208,0.005435
2001-10,Gistiþjónusta,51,2208,0.023098
2001-10,Veitingaþjónusta,83,2208,0.037591
2001-10,Ferðaþjónusta ýmis,43,2208,0.019475
2001-10,Upplýsingar og fjarskipti,96,2208,0.043478
2001-10,Fjármála- og vátryggingastarfsemi,46,2208,0.020833
2001-10,Fasteignaviðskipti,10,2208,0.004529
2001-10,"Sérfræðileg, vísindaleg og tæknileg starfsemi",49,2208,0.022192
