Ársfjórðungur,Landsvæði,Kyn,Aldur,Eining,value
2008Q2,Capital region,Females,25-54,Unemployed (Estimated number),500
2008Q2,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0
2008Q2,Capital region,Females,55-74,Unemployed (Estimated number),0
2008Q2,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.4
2008Q2,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2200
2008Q2,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",12.4
2008Q2,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1400
2008Q2,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",1.4
2008Q2,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),600
2008Q2,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2
2008Q2,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),300
2008Q2,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3.6
2008Q2,Outside Capital region,Males,16-74,Unemployed (Estimated number),1300
2008Q2,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",18.1
2008Q2,Outside Capital region,Males,16-24,Unemployed (Estimated number),1000
2008Q2,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",0.4
2008Q2,Outside Capital region,Males,25-54,Unemployed (Estimated number),100
2008Q2,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.8
2008Q2,Outside Capital region,Males,55-74,Unemployed (Estimated number),300
2008Q2,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.2
2008Q2,Outside Capital region,Females,16-74,Unemployed (Estimated number),900
2008Q2,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",7.1
2008Q2,Outside Capital region,Females,16-24,Unemployed (Estimated number),400
2008Q2,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3
2008Q2,Outside Capital region,Females,25-54,Unemployed (Estimated number),500
2008Q2,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0
2008Q2,Outside Capital region,Females,55-74,Unemployed (Estimated number),0
2008Q3,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2008Q3,Total,Males and females,16-74,Unemployed (Estimated number),5400
2008Q3,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",5.6
2008Q3,Total,Males and females,16-24,Unemployed (Estimated number),1800
2008Q3,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.4
2008Q3,Total,Males and females,25-54,Unemployed (Estimated number),2900
2008Q3,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.1
2008Q3,Total,Males and females,55-74,Unemployed (Estimated number),700
2008Q3,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3
2008Q3,Total,Males,16-74,Unemployed (Estimated number),3000
2008Q3,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",5.2
2008Q3,Total,Males,16-24,Unemployed (Estimated number),900
2008Q3,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.3
2008Q3,Total,Males,25-54,Unemployed (Estimated number),1500
2008Q3,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.3
2008Q3,Total,Males,55-74,Unemployed (Estimated number),600
2008Q3,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2008Q3,Total,Females,16-74,Unemployed (Estimated number),2400
2008Q3,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",6.1
2008Q3,Total,Females,16-24,Unemployed (Estimated number),1000
2008Q3,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.5
2008Q3,Total,Females,25-54,Unemployed (Estimated number),1400
2008Q3,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0.6
2008Q3,Total,Females,55-74,Unemployed (Estimated number),100
2008Q3,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.3
2008Q3,Capital region,Males and females,16-74,Unemployed (Estimated number),3900
2008Q3,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",5.6
2008Q3,Capital region,Males and females,16-24,Unemployed (Estimated number),1200
2008Q3,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.8
2008Q3,Capital region,Males and females,25-54,Unemployed (Estimated number),2200
2008Q3,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.3
2008Q3,Capital region,Males and females,55-74,Unemployed (Estimated number),500
2008Q3,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3.1
2008Q3,Capital region,Males,16-74,Unemployed (Estimated number),2000
2008Q3,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",3.5
2008Q3,Capital region,Males,16-24,Unemployed (Estimated number),400
2008Q3,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.9
2008Q3,Capital region,Males,25-54,Unemployed (Estimated number),1300
2008Q3,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.4
2008Q3,Capital region,Males,55-74,Unemployed (Estimated number),400
2008Q3,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.4
2008Q3,Capital region,Females,16-74,Unemployed (Estimated number),1900
2008Q3,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",7.9
2008Q3,Capital region,Females,16-24,Unemployed (Estimated number),800
2008Q3,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.7
2008Q3,Capital region,Females,25-54,Unemployed (Estimated number),900
2008Q3,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0.9
2008Q3,Capital region,Females,55-74,Unemployed (Estimated number),100
2008Q3,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.3
2008Q3,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),1500
2008Q3,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",5.6
2008Q3,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),600
2008Q3,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",1.6
2008Q3,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),700
2008Q3,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.8
2008Q3,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),200
2008Q3,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.8
2008Q3,Outside Capital region,Males,16-74,Unemployed (Estimated number),1000
2008Q3,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",8.6
2008Q3,Outside Capital region,Males,16-24,Unemployed (Estimated number),500
2008Q3,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",1.2
2008Q3,Outside Capital region,Males,25-54,Unemployed (Estimated number),300
2008Q3,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.2
2008Q3,Outside Capital region,Males,55-74,Unemployed (Estimated number),200
2008Q3,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",1.8
2008Q3,Outside Capital region,Females,16-74,Unemployed (Estimated number),500
2008Q3,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",2.4
2008Q3,Outside Capital region,Females,16-24,Unemployed (Estimated number),100
2008Q3,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.2
2008Q3,Outside Capital region,Females,25-54,Unemployed (Estimated number),400
2008Q3,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0
2008Q3,Outside Capital region,Females,55-74,Unemployed (Estimated number),0
2008Q4,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.6
2008Q4,Total,Males and females,16-74,Unemployed (Estimated number),8300
2008Q4,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",12.2
2008Q4,Total,Males and females,16-24,Unemployed (Estimated number),3500
2008Q4,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.4
2008Q4,Total,Males and females,25-54,Unemployed (Estimated number),4000
2008Q4,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2008Q4,Total,Males and females,55-74,Unemployed (Estimated number),900
2008Q4,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5.8
2008Q4,Total,Males,16-74,Unemployed (Estimated number),5600
2008Q4,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",15.3
2008Q4,Total,Males,16-24,Unemployed (Estimated number),2100
2008Q4,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",4.5
2008Q4,Total,Males,25-54,Unemployed (Estimated number),2900
2008Q4,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.3
2008Q4,Total,Males,55-74,Unemployed (Estimated number),600
2008Q4,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.3
2008Q4,Total,Females,16-74,Unemployed (Estimated number),2700
2008Q4,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.2
2008Q4,Total,Females,16-24,Unemployed (Estimated number),1300
2008Q4,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2
2008Q4,Total,Females,25-54,Unemployed (Estimated number),1100
2008Q4,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.8
2008Q4,Total,Females,55-74,Unemployed (Estimated number),200
2008Q4,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",5
2008Q4,Capital region,Males and females,16-74,Unemployed (Estimated number),5900
2008Q4,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",13
2008Q4,Capital region,Males and females,16-24,Unemployed (Estimated number),2500
2008Q4,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",3.6
2008Q4,Capital region,Males and females,25-54,Unemployed (Estimated number),2800
2008Q4,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.7
2008Q4,Capital region,Males and females,55-74,Unemployed (Estimated number),600
2008Q4,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",6.3
2008Q4,Capital region,Males,16-74,Unemployed (Estimated number),4200
2008Q4,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",17.6
2008Q4,Capital region,Males,16-24,Unemployed (Estimated number),1700
2008Q4,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",4.7
2008Q4,Capital region,Males,25-54,Unemployed (Estimated number),2100
2008Q4,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.3
2008Q4,Capital region,Males,55-74,Unemployed (Estimated number),400
2008Q4,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.3
2008Q4,Capital region,Females,16-74,Unemployed (Estimated number),1700
2008Q4,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",8.5
2008Q4,Capital region,Females,16-24,Unemployed (Estimated number),800
2008Q4,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.1
2008Q4,Capital region,Females,25-54,Unemployed (Estimated number),700
2008Q4,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2
2008Q4,Capital region,Females,55-74,Unemployed (Estimated number),200
2008Q4,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.9
2008Q4,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2400
2008Q4,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",10.4
2008Q4,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),900
2008Q4,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.9
2008Q4,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1200
2008Q4,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.4
2008Q4,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),300
2008Q4,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.6
2008Q4,Outside Capital region,Males,16-74,Unemployed (Estimated number),1500
2008Q4,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",10.1
2008Q4,Outside Capital region,Males,16-24,Unemployed (Estimated number),400
2008Q4,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.9
2008Q4,Outside Capital region,Males,25-54,Unemployed (Estimated number),800
2008Q4,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.3
2008Q4,Outside Capital region,Males,55-74,Unemployed (Estimated number),200
2008Q4,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.2
2008Q4,Outside Capital region,Females,16-74,Unemployed (Estimated number),900
2008Q4,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",10.7
2008Q4,Outside Capital region,Females,16-24,Unemployed (Estimated number),500
2008Q4,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.9
2008Q4,Outside Capital region,Females,25-54,Unemployed (Estimated number),400
2008Q4,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.4
2008Q4,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2009Q1,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",7.8
2009Q1,Total,Males and females,16-74,Unemployed (Estimated number),13600
2009Q1,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",14.3
2009Q1,Total,Males and females,16-24,Unemployed (Estimated number),3700
2009Q1,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",7.5
2009Q1,Total,Males and females,25-54,Unemployed (Estimated number),8700
2009Q1,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.8
2009Q1,Total,Males and females,55-74,Unemployed (Estimated number),1200
2009Q1,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",10.1
2009Q1,Total,Males,16-74,Unemployed (Estimated number),9400
2009Q1,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",18.9
2009Q1,Total,Males,16-24,Unemployed (Estimated number),2400
2009Q1,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",9.7
2009Q1,Total,Males,25-54,Unemployed (Estimated number),6000
2009Q1,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",5.3
2009Q1,Total,Males,55-74,Unemployed (Estimated number),1000
2009Q1,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.2
2009Q1,Total,Females,16-74,Unemployed (Estimated number),4100
2009Q1,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.7
2009Q1,Total,Females,16-24,Unemployed (Estimated number),1300
2009Q1,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",5
2009Q1,Total,Females,25-54,Unemployed (Estimated number),2700
2009Q1,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.7
2009Q1,Total,Females,55-74,Unemployed (Estimated number),200
2009Q1,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",8.1
2009Q1,Capital region,Males and females,16-74,Unemployed (Estimated number),9300
2009Q1,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",13.3
2009Q1,Capital region,Males and females,16-24,Unemployed (Estimated number),2400
2009Q1,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",8
2009Q1,Capital region,Males and females,25-54,Unemployed (Estimated number),6000
2009Q1,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4.2
2009Q1,Capital region,Males and females,55-74,Unemployed (Estimated number),900
2009Q1,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",10.8
2009Q1,Capital region,Males,16-74,Unemployed (Estimated number),6800
2009Q1,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",17.9
2009Q1,Capital region,Males,16-24,Unemployed (Estimated number),1600
2009Q1,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",10.8
2009Q1,Capital region,Males,25-54,Unemployed (Estimated number),4500
2009Q1,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",6.1
2009Q1,Capital region,Males,55-74,Unemployed (Estimated number),800
2009Q1,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",4.8
2009Q1,Capital region,Females,16-74,Unemployed (Estimated number),2500
2009Q1,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9
2009Q1,Capital region,Females,16-24,Unemployed (Estimated number),800
2009Q1,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",4.5
2009Q1,Capital region,Females,25-54,Unemployed (Estimated number),1500
2009Q1,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.7
2009Q1,Capital region,Females,55-74,Unemployed (Estimated number),200
2009Q1,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",7.3
2009Q1,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),4300
2009Q1,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",16.3
2009Q1,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1300
2009Q1,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",6.7
2009Q1,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),2700
2009Q1,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.9
2009Q1,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),300
2009Q1,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",8.6
2009Q1,Outside Capital region,Males,16-74,Unemployed (Estimated number),2700
2009Q1,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",21
2009Q1,Outside Capital region,Males,16-24,Unemployed (Estimated number),900
2009Q1,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",7.5
2009Q1,Outside Capital region,Males,25-54,Unemployed (Estimated number),1500
2009Q1,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.9
2009Q1,Outside Capital region,Males,55-74,Unemployed (Estimated number),200
2009Q1,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.9
2009Q1,Outside Capital region,Females,16-74,Unemployed (Estimated number),1600
2009Q1,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",11.3
2009Q1,Outside Capital region,Females,16-24,Unemployed (Estimated number),400
2009Q1,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",5.8
2009Q1,Outside Capital region,Females,25-54,Unemployed (Estimated number),1100
2009Q1,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.5
2009Q1,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2009Q2,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",9.8
2009Q2,Total,Males and females,16-74,Unemployed (Estimated number),17600
2009Q2,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",23.5
2009Q2,Total,Males and females,16-24,Unemployed (Estimated number),7700
2009Q2,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",7.5
2009Q2,Total,Males and females,25-54,Unemployed (Estimated number),8600
2009Q2,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.9
2009Q2,Total,Males and females,55-74,Unemployed (Estimated number),1300
2009Q2,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",11.5
2009Q2,Total,Males,16-74,Unemployed (Estimated number),11200
2009Q2,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",29.4
2009Q2,Total,Males,16-24,Unemployed (Estimated number),5000
2009Q2,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",8.4
2009Q2,Total,Males,25-54,Unemployed (Estimated number),5300
2009Q2,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",5.2
2009Q2,Total,Males,55-74,Unemployed (Estimated number),900
2009Q2,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",7.7
2009Q2,Total,Females,16-74,Unemployed (Estimated number),6400
2009Q2,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",17.1
2009Q2,Total,Females,16-24,Unemployed (Estimated number),2700
2009Q2,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",6.3
2009Q2,Total,Females,25-54,Unemployed (Estimated number),3400
2009Q2,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.4
2009Q2,Total,Females,55-74,Unemployed (Estimated number),300
2009Q2,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",10.9
2009Q2,Capital region,Males and females,16-74,Unemployed (Estimated number),12500
2009Q2,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",24.2
2009Q2,Capital region,Males and females,16-24,Unemployed (Estimated number),5100
2009Q2,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",8.7
2009Q2,Capital region,Males and females,25-54,Unemployed (Estimated number),6500
2009Q2,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4.6
2009Q2,Capital region,Males and females,55-74,Unemployed (Estimated number),900
2009Q2,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",12.6
2009Q2,Capital region,Males,16-74,Unemployed (Estimated number),7700
2009Q2,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",30
2009Q2,Capital region,Males,16-24,Unemployed (Estimated number),3300
2009Q2,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",9.9
2009Q2,Capital region,Males,25-54,Unemployed (Estimated number),3800
2009Q2,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",5.2
2009Q2,Capital region,Males,55-74,Unemployed (Estimated number),600
2009Q2,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",8.9
2009Q2,Capital region,Females,16-74,Unemployed (Estimated number),4800
2009Q2,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",17.9
2009Q2,Capital region,Females,16-24,Unemployed (Estimated number),1800
2009Q2,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",7.5
2009Q2,Capital region,Females,25-54,Unemployed (Estimated number),2700
2009Q2,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.9
2009Q2,Capital region,Females,55-74,Unemployed (Estimated number),300
2009Q2,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",7.8
2009Q2,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),5100
2009Q2,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",22.2
2009Q2,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),2600
2009Q2,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",5.1
2009Q2,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),2100
2009Q2,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.8
2009Q2,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),300
2009Q2,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",9.7
2009Q2,Outside Capital region,Males,16-74,Unemployed (Estimated number),3500
2009Q2,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",28.3
2009Q2,Outside Capital region,Males,16-24,Unemployed (Estimated number),1700
2009Q2,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",6.1
2009Q2,Outside Capital region,Males,25-54,Unemployed (Estimated number),1400
2009Q2,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",5.3
2009Q2,Outside Capital region,Males,55-74,Unemployed (Estimated number),300
2009Q2,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.5
2009Q2,Outside Capital region,Females,16-74,Unemployed (Estimated number),1600
2009Q2,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",15.8
2009Q2,Outside Capital region,Females,16-24,Unemployed (Estimated number),900
2009Q2,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.8
2009Q2,Outside Capital region,Females,25-54,Unemployed (Estimated number),700
2009Q2,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0
2009Q2,Outside Capital region,Females,55-74,Unemployed (Estimated number),0
2009Q3,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",6.7
2009Q3,Total,Males and females,16-74,Unemployed (Estimated number),12000
2009Q3,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",14.2
2009Q3,Total,Males and females,16-24,Unemployed (Estimated number),4400
2009Q3,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",5.6
2009Q3,Total,Males and females,25-54,Unemployed (Estimated number),6400
2009Q3,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2009Q3,Total,Males and females,55-74,Unemployed (Estimated number),1200
2009Q3,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",7.4
2009Q3,Total,Males,16-74,Unemployed (Estimated number),7100
2009Q3,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",16.2
2009Q3,Total,Males,16-24,Unemployed (Estimated number),2600
2009Q3,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",6
2009Q3,Total,Males,25-54,Unemployed (Estimated number),3700
2009Q3,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.5
2009Q3,Total,Males,55-74,Unemployed (Estimated number),800
2009Q3,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",5.9
2009Q3,Total,Females,16-74,Unemployed (Estimated number),4900
2009Q3,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",12
2009Q3,Total,Females,16-24,Unemployed (Estimated number),1800
2009Q3,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",5.2
2009Q3,Total,Females,25-54,Unemployed (Estimated number),2800
2009Q3,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.4
2009Q3,Total,Females,55-74,Unemployed (Estimated number),400
2009Q3,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",7.9
2009Q3,Capital region,Males and females,16-74,Unemployed (Estimated number),9200
2009Q3,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",14.7
2009Q3,Capital region,Males and females,16-24,Unemployed (Estimated number),3000
2009Q3,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",7.4
2009Q3,Capital region,Males and females,25-54,Unemployed (Estimated number),5500
2009Q3,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.2
2009Q3,Capital region,Males and females,55-74,Unemployed (Estimated number),700
2009Q3,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",8.8
2009Q3,Capital region,Males,16-74,Unemployed (Estimated number),5300
2009Q3,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",17.6
2009Q3,Capital region,Males,16-24,Unemployed (Estimated number),1800
2009Q3,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",8
2009Q3,Capital region,Males,25-54,Unemployed (Estimated number),3000
2009Q3,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2009Q3,Capital region,Males,55-74,Unemployed (Estimated number),400
2009Q3,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",7
2009Q3,Capital region,Females,16-74,Unemployed (Estimated number),3900
2009Q3,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",11.7
2009Q3,Capital region,Females,16-24,Unemployed (Estimated number),1200
2009Q3,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",6.8
2009Q3,Capital region,Females,25-54,Unemployed (Estimated number),2400
