Mælikvarði,Atvinnugrein,Ár,value
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2010,104.1
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2011,105.1
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2012,103.5
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2013,107.8
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2014,108.2
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2015,112.8
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2016,115.5
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2017,115.4
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2018,114.7
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2019,118
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2020,104.9
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2021,121.4
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2022,129.4
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2023,134.3
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2024,130.9
Index 2008=100,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,2025,135.6
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2008,100
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2009,108.8
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2010,106.4
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2011,109.5
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2012,106.1
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2013,109.2
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2014,113.9
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2015,121.1
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2016,127.8
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2017,130.1
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,129.5
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,131
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2020,140.5
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,148.1
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2022,145.1
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,147.8
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,147.2
Index 2008=100,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2025,145.9
Index 2008=100,H. Transportation and storage,2008,100
Index 2008=100,H. Transportation and storage,2009,103.2
Index 2008=100,H. Transportation and storage,2010,104.1
Index 2008=100,H. Transportation and storage,2011,104.3
Index 2008=100,H. Transportation and storage,2012,105.8
Index 2008=100,H. Transportation and storage,2013,112.9
Index 2008=100,H. Transportation and storage,2014,107.1
Index 2008=100,H. Transportation and storage,2015,110.5
Index 2008=100,H. Transportation and storage,2016,110.4
Index 2008=100,H. Transportation and storage,2017,111.2
Index 2008=100,H. Transportation and storage,2018,110.8
Index 2008=100,H. Transportation and storage,2019,115.3
Index 2008=100,H. Transportation and storage,2020,75.7
Index 2008=100,H. Transportation and storage,2021,96.3
Index 2008=100,H. Transportation and storage,2022,128.6
Index 2008=100,H. Transportation and storage,2023,135.6
Index 2008=100,H. Transportation and storage,2024,129.5
Index 2008=100,H. Transportation and storage,2025,139.9
Index 2008=100,I. Accommodation and food service activities,2008,100
Index 2008=100,I. Accommodation and food service activities,2009,101.9
Index 2008=100,I. Accommodation and food service activities,2010,97.9
Index 2008=100,I. Accommodation and food service activities,2011,94.4
Index 2008=100,I. Accommodation and food service activities,2012,94.7
Index 2008=100,I. Accommodation and food service activities,2013,98.9
Index 2008=100,I. Accommodation and food service activities,2014,101.6
Index 2008=100,I. Accommodation and food service activities,2015,105.5
Index 2008=100,I. Accommodation and food service activities,2016,105.8
Index 2008=100,I. Accommodation and food service activities,2017,100
Index 2008=100,I. Accommodation and food service activities,2018,98.2
Index 2008=100,I. Accommodation and food service activities,2019,104.1
Index 2008=100,I. Accommodation and food service activities,2020,68.6
Index 2008=100,I. Accommodation and food service activities,2021,108.5
Index 2008=100,I. Accommodation and food service activities,2022,113.8
Index 2008=100,I. Accommodation and food service activities,2023,121.2
Index 2008=100,I. Accommodation and food service activities,2024,116.4
Index 2008=100,I. Accommodation and food service activities,2025,124.2
Index 2008=100,J. Information and communication,2008,100
Index 2008=100,J. Information and communication,2009,105.8
Index 2008=100,J. Information and communication,2010,101.9
Index 2008=100,J. Information and communication,2011,102.8
Index 2008=100,J. Information and communication,2012,103.3
Index 2008=100,J. Information and communication,2013,110.2
Index 2008=100,J. Information and communication,2014,111.2
Index 2008=100,J. Information and communication,2015,118.4
Index 2008=100,J. Information and communication,2016,128.7
Index 2008=100,J. Information and communication,2017,126.2
Index 2008=100,J. Information and communication,2018,154.1
Index 2008=100,J. Information and communication,2019,168.9
Index 2008=100,J. Information and communication,2020,174.7
Index 2008=100,J. Information and communication,2021,181.3
Index 2008=100,J. Information and communication,2022,184
Index 2008=100,J. Information and communication,2023,183.6
Index 2008=100,J. Information and communication,2024,196.5
Index 2008=100,J. Information and communication,2025,217.1
Index 2008=100,K. Financial and insurance activities,2008,100
Index 2008=100,K. Financial and insurance activities,2009,122.6
Index 2008=100,K. Financial and insurance activities,2010,117.3
Index 2008=100,K. Financial and insurance activities,2011,112.3
Index 2008=100,K. Financial and insurance activities,2012,111.9
Index 2008=100,K. Financial and insurance activities,2013,106.3
Index 2008=100,K. Financial and insurance activities,2014,108.4
Index 2008=100,K. Financial and insurance activities,2015,105.3
