Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2011Q3,Accommodation and food service activities (I),Value of index,57.7
2011Q3,Accommodation and food service activities (I),"Quarterly change, %",-2.4
2011Q3,Accommodation and food service activities (I),"Annual change, %",5.9
2011Q3,Information and communication (J),Value of index,58.1
2011Q3,Information and communication (J),"Quarterly change, %",-1.2
2011Q3,Information and communication (J),"Annual change, %",6.8
2011Q3,Financial and insurance activities (K),Value of index,54.6
2011Q3,Financial and insurance activities (K),"Quarterly change, %",-1.8
2011Q3,Financial and insurance activities (K),"Annual change, %",8.1
2011Q3,Real estate activities (L),Value of index,55.1
2011Q3,Real estate activities (L),"Quarterly change, %",-2.8
2011Q3,Real estate activities (L),"Annual change, %",2.4
2011Q3,"Professional, scientific and technical activities (M)",Value of index,61.4
2011Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-2.2
2011Q3,"Professional, scientific and technical activities (M)","Annual change, %",5.5
2011Q3,Administrative and support service activities (N),Value of index,56.5
2011Q3,Administrative and support service activities (N),"Quarterly change, %",-4.1
2011Q3,Administrative and support service activities (N),"Annual change, %",4.1
2011Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,54.7
2011Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-1.8
2011Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.5
2011Q4,Total,Value of index,61.9
2011Q4,Total,"Quarterly change, %",10.7
2011Q4,Total,"Annual change, %",7.3
2011Q4,Private sector,Value of index,63.9
2011Q4,Private sector,"Quarterly change, %",11.3
2011Q4,Private sector,"Annual change, %",7.2
2011Q4,Public sector,Value of index,59.8
2011Q4,Public sector,"Quarterly change, %",9.7
2011Q4,Public sector,"Annual change, %",7
2011Q4,Manufacturing (C),Value of index,61.3
2011Q4,Manufacturing (C),"Quarterly change, %",11.3
2011Q4,Manufacturing (C),"Annual change, %",6.1
2011Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,62.8
2011Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",18.9
2011Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.9
2011Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,62.5
2011Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",11
2011Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",6.1
2011Q4,Construction (F),Value of index,66.7
2011Q4,Construction (F),"Quarterly change, %",6.9
2011Q4,Construction (F),"Annual change, %",7.2
2011Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,61.5
2011Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",10.2
2011Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.6
2011Q4,Transportation and storage (H),Value of index,65.6
2011Q4,Transportation and storage (H),"Quarterly change, %",12.9
2011Q4,Transportation and storage (H),"Annual change, %",10.3
2011Q4,Accommodation and food service activities (I),Value of index,61.5
2011Q4,Accommodation and food service activities (I),"Quarterly change, %",6.6
2011Q4,Accommodation and food service activities (I),"Annual change, %",6
2011Q4,Information and communication (J),Value of index,62.3
2011Q4,Information and communication (J),"Quarterly change, %",7.2
2011Q4,Information and communication (J),"Annual change, %",6.5
2011Q4,Financial and insurance activities (K),Value of index,62.5
2011Q4,Financial and insurance activities (K),"Quarterly change, %",14.5
2011Q4,Financial and insurance activities (K),"Annual change, %",10.6
2011Q4,Real estate activities (L),Value of index,61.6
2011Q4,Real estate activities (L),"Quarterly change, %",11.8
2011Q4,Real estate activities (L),"Annual change, %",8.6
2011Q4,"Professional, scientific and technical activities (M)",Value of index,69.5
2011Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",13.2
2011Q4,"Professional, scientific and technical activities (M)","Annual change, %",9.1
2011Q4,Administrative and support service activities (N),Value of index,62.1
2011Q4,Administrative and support service activities (N),"Quarterly change, %",9.9
2011Q4,Administrative and support service activities (N),"Annual change, %",5.6
2011Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,60.2
2011Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",10.1
2011Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.1
2012Q1,Total,Value of index,60.9
2012Q1,Total,"Quarterly change, %",-1.6
2012Q1,Total,"Annual change, %",8.6
2012Q1,Private sector,Value of index,62.9
2012Q1,Private sector,"Quarterly change, %",-1.6
2012Q1,Private sector,"Annual change, %",7.9
2012Q1,Public sector,Value of index,58.7
2012Q1,Public sector,"Quarterly change, %",-1.8
2012Q1,Public sector,"Annual change, %",9.1
2012Q1,Manufacturing (C),Value of index,61.3
2012Q1,Manufacturing (C),"Quarterly change, %",0
2012Q1,Manufacturing (C),"Annual change, %",8.1
2012Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,59.1
2012Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-5.9
2012Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",6.9
2012Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,63.1
2012Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",1
2012Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",7.9
2012Q1,Construction (F),Value of index,66.8
2012Q1,Construction (F),"Quarterly change, %",0.1
2012Q1,Construction (F),"Annual change, %",10.6
2012Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,60.6
2012Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-1.5
2012Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",8.4
2012Q1,Transportation and storage (H),Value of index,63.2
2012Q1,Transportation and storage (H),"Quarterly change, %",-3.7
2012Q1,Transportation and storage (H),"Annual change, %",7.1
2012Q1,Accommodation and food service activities (I),Value of index,60.9
2012Q1,Accommodation and food service activities (I),"Quarterly change, %",-1
2012Q1,Accommodation and food service activities (I),"Annual change, %",8
2012Q1,Information and communication (J),Value of index,61.8
2012Q1,Information and communication (J),"Quarterly change, %",-0.8
2012Q1,Information and communication (J),"Annual change, %",7.3
2012Q1,Financial and insurance activities (K),Value of index,60.8
2012Q1,Financial and insurance activities (K),"Quarterly change, %",-2.7
2012Q1,Financial and insurance activities (K),"Annual change, %",11.2
2012Q1,Real estate activities (L),Value of index,64.2
2012Q1,Real estate activities (L),"Quarterly change, %",4.2
2012Q1,Real estate activities (L),"Annual change, %",11.8
2012Q1,"Professional, scientific and technical activities (M)",Value of index,67.9
2012Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",-2.3
2012Q1,"Professional, scientific and technical activities (M)","Annual change, %",7.9
2012Q1,Administrative and support service activities (N),Value of index,61.2
2012Q1,Administrative and support service activities (N),"Quarterly change, %",-1.5
2012Q1,Administrative and support service activities (N),"Annual change, %",7.6
2012Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,58.9
2012Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2.2
2012Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",8.7
2012Q2,Total,Value of index,61.4
2012Q2,Total,"Quarterly change, %",0.8
2012Q2,Total,"Annual change, %",7
2012Q2,Private sector,Value of index,63
2012Q2,Private sector,"Quarterly change, %",0.2
2012Q2,Private sector,"Annual change, %",6.2
2012Q2,Public sector,Value of index,59.8
2012Q2,Public sector,"Quarterly change, %",1.9
2012Q2,Public sector,"Annual change, %",7.9
2012Q2,Manufacturing (C),Value of index,61.3
2012Q2,Manufacturing (C),"Quarterly change, %",0
2012Q2,Manufacturing (C),"Annual change, %",6.2
2012Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,59.9
2012Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",1.4
2012Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.9
2012Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,62.8
2012Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-0.5
2012Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",6.6
2012Q2,Construction (F),Value of index,67.3
2012Q2,Construction (F),"Quarterly change, %",0.7
2012Q2,Construction (F),"Annual change, %",5.3
2012Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,61.6
2012Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",1.7
2012Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.8
2012Q2,Transportation and storage (H),Value of index,62.9
2012Q2,Transportation and storage (H),"Quarterly change, %",-0.5
2012Q2,Transportation and storage (H),"Annual change, %",5.9
2012Q2,Accommodation and food service activities (I),Value of index,62.4
2012Q2,Accommodation and food service activities (I),"Quarterly change, %",2.5
2012Q2,Accommodation and food service activities (I),"Annual change, %",5.6
2012Q2,Information and communication (J),Value of index,62.9
2012Q2,Information and communication (J),"Quarterly change, %",1.8
2012Q2,Information and communication (J),"Annual change, %",7
2012Q2,Financial and insurance activities (K),Value of index,60.1
2012Q2,Financial and insurance activities (K),"Quarterly change, %",-1.2
2012Q2,Financial and insurance activities (K),"Annual change, %",8.1
2012Q2,Real estate activities (L),Value of index,64.3
2012Q2,Real estate activities (L),"Quarterly change, %",0.2
2012Q2,Real estate activities (L),"Annual change, %",13.4
2012Q2,"Professional, scientific and technical activities (M)",Value of index,67.6
2012Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",-0.5
2012Q2,"Professional, scientific and technical activities (M)","Annual change, %",7.6
2012Q2,Administrative and support service activities (N),Value of index,62.3
2012Q2,Administrative and support service activities (N),"Quarterly change, %",1.8
2012Q2,Administrative and support service activities (N),"Annual change, %",5.8
2012Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,60
2012Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",1.9
2012Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.7
2012Q3,Total,Value of index,59.4
2012Q3,Total,"Quarterly change, %",-3.3
2012Q3,Total,"Annual change, %",6.3
2012Q3,Private sector,Value of index,60.9
2012Q3,Private sector,"Quarterly change, %",-3.3
2012Q3,Private sector,"Annual change, %",6.1
2012Q3,Public sector,Value of index,57.8
2012Q3,Public sector,"Quarterly change, %",-3.4
2012Q3,Public sector,"Annual change, %",6.1
2012Q3,Manufacturing (C),Value of index,59.3
2012Q3,Manufacturing (C),"Quarterly change, %",-3.3
2012Q3,Manufacturing (C),"Annual change, %",7.6
2012Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,57.2
2012Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-4.5
2012Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",8.3
2012Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,60.4
2012Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-3.8
2012Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",7.3
2012Q3,Construction (F),Value of index,64
2012Q3,Construction (F),"Quarterly change, %",-4.9
2012Q3,Construction (F),"Annual change, %",2.6
2012Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,59
2012Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-4.2
2012Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.7
2012Q3,Transportation and storage (H),Value of index,60.7
2012Q3,Transportation and storage (H),"Quarterly change, %",-3.5
2012Q3,Transportation and storage (H),"Annual change, %",4.5
2012Q3,Accommodation and food service activities (I),Value of index,61.1
2012Q3,Accommodation and food service activities (I),"Quarterly change, %",-2.1
2012Q3,Accommodation and food service activities (I),"Annual change, %",5.9
2012Q3,Information and communication (J),Value of index,61.8
2012Q3,Information and communication (J),"Quarterly change, %",-1.8
2012Q3,Information and communication (J),"Annual change, %",6.4
2012Q3,Financial and insurance activities (K),Value of index,59.2
2012Q3,Financial and insurance activities (K),"Quarterly change, %",-1.5
2012Q3,Financial and insurance activities (K),"Annual change, %",8.4
2012Q3,Real estate activities (L),Value of index,61.8
2012Q3,Real estate activities (L),"Quarterly change, %",-3.9
2012Q3,Real estate activities (L),"Annual change, %",12.2
2012Q3,"Professional, scientific and technical activities (M)",Value of index,65.5
2012Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-3.1
2012Q3,"Professional, scientific and technical activities (M)","Annual change, %",6.7
2012Q3,Administrative and support service activities (N),Value of index,60.6
2012Q3,Administrative and support service activities (N),"Quarterly change, %",-2.7
2012Q3,Administrative and support service activities (N),"Annual change, %",7.3
2012Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,57.8
2012Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-3.7
2012Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.7
2012Q4,Total,Value of index,65.3
2012Q4,Total,"Quarterly change, %",9.9
2012Q4,Total,"Annual change, %",5.5
2012Q4,Private sector,Value of index,66.9
2012Q4,Private sector,"Quarterly change, %",9.9
2012Q4,Private sector,"Annual change, %",4.7
2012Q4,Public sector,Value of index,63.3
2012Q4,Public sector,"Quarterly change, %",9.5
2012Q4,Public sector,"Annual change, %",5.9
2012Q4,Manufacturing (C),Value of index,64.9
2012Q4,Manufacturing (C),"Quarterly change, %",9.4
2012Q4,Manufacturing (C),"Annual change, %",5.9
2012Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,66.9
2012Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",17
2012Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",6.5
2012Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,66.4
2012Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",9.9
2012Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",6.2
2012Q4,Construction (F),Value of index,70.6
2012Q4,Construction (F),"Quarterly change, %",10.3
2012Q4,Construction (F),"Annual change, %",5.8
2012Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,64.7
2012Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",9.7
2012Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.2
2012Q4,Transportation and storage (H),Value of index,67
2012Q4,Transportation and storage (H),"Quarterly change, %",10.4
2012Q4,Transportation and storage (H),"Annual change, %",2.1
2012Q4,Accommodation and food service activities (I),Value of index,65.5
2012Q4,Accommodation and food service activities (I),"Quarterly change, %",7.2
2012Q4,Accommodation and food service activities (I),"Annual change, %",6.5
2012Q4,Information and communication (J),Value of index,66.2
2012Q4,Information and communication (J),"Quarterly change, %",7.1
2012Q4,Information and communication (J),"Annual change, %",6.3
2012Q4,Financial and insurance activities (K),Value of index,65.3
2012Q4,Financial and insurance activities (K),"Quarterly change, %",10.3
2012Q4,Financial and insurance activities (K),"Annual change, %",4.5
2012Q4,Real estate activities (L),Value of index,70.1
2012Q4,Real estate activities (L),"Quarterly change, %",13.4
2012Q4,Real estate activities (L),"Annual change, %",13.8
2012Q4,"Professional, scientific and technical activities (M)",Value of index,72.6
2012Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",10.8
2012Q4,"Professional, scientific and technical activities (M)","Annual change, %",4.5
2012Q4,Administrative and support service activities (N),Value of index,66.3
2012Q4,Administrative and support service activities (N),"Quarterly change, %",9.4
2012Q4,Administrative and support service activities (N),"Annual change, %",6.8
2012Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,63.7
2012Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",10.2
2012Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.8
2013Q1,Total,Value of index,64.3
2013Q1,Total,"Quarterly change, %",-1.5
2013Q1,Total,"Annual change, %",5.6
2013Q1,Private sector,Value of index,66.4
2013Q1,Private sector,"Quarterly change, %",-0.8
2013Q1,Private sector,"Annual change, %",5.6
2013Q1,Public sector,Value of index,61.7
2013Q1,Public sector,"Quarterly change, %",-2.5
2013Q1,Public sector,"Annual change, %",5.1
2013Q1,Manufacturing (C),Value of index,64.8
2013Q1,Manufacturing (C),"Quarterly change, %",-0.2
2013Q1,Manufacturing (C),"Annual change, %",5.7
2013Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,63.7
2013Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-4.8
2013Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.8
2013Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,66.9
2013Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",0.8
2013Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",6
2013Q1,Construction (F),Value of index,68.7
2013Q1,Construction (F),"Quarterly change, %",-2.7
2013Q1,Construction (F),"Annual change, %",2.8
2013Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,63.9
2013Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-1.2
2013Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.4
2013Q1,Transportation and storage (H),Value of index,67
2013Q1,Transportation and storage (H),"Quarterly change, %",0
2013Q1,Transportation and storage (H),"Annual change, %",6
2013Q1,Accommodation and food service activities (I),Value of index,64.6
2013Q1,Accommodation and food service activities (I),"Quarterly change, %",-1.4
2013Q1,Accommodation and food service activities (I),"Annual change, %",6.1
2013Q1,Information and communication (J),Value of index,66.6
2013Q1,Information and communication (J),"Quarterly change, %",0.6
2013Q1,Information and communication (J),"Annual change, %",7.8
2013Q1,Financial and insurance activities (K),Value of index,64.4
2013Q1,Financial and insurance activities (K),"Quarterly change, %",-1.4
2013Q1,Financial and insurance activities (K),"Annual change, %",5.9
2013Q1,Real estate activities (L),Value of index,66.5
2013Q1,Real estate activities (L),"Quarterly change, %",-5.1
2013Q1,Real estate activities (L),"Annual change, %",3.6
2013Q1,"Professional, scientific and technical activities (M)",Value of index,71.2
2013Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",-1.9
2013Q1,"Professional, scientific and technical activities (M)","Annual change, %",4.9
2013Q1,Administrative and support service activities (N),Value of index,65.5
2013Q1,Administrative and support service activities (N),"Quarterly change, %",-1.2
2013Q1,Administrative and support service activities (N),"Annual change, %",7
2013Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,62
2013Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2.7
2013Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.3
2013Q2,Total,Value of index,65.2
2013Q2,Total,"Quarterly change, %",1.4
2013Q2,Total,"Annual change, %",6.2
2013Q2,Private sector,Value of index,66.6
2013Q2,Private sector,"Quarterly change, %",0.3
2013Q2,Private sector,"Annual change, %",5.7
2013Q2,Public sector,Value of index,63.4
2013Q2,Public sector,"Quarterly change, %",2.8
2013Q2,Public sector,"Annual change, %",6
2013Q2,Manufacturing (C),Value of index,64.6
2013Q2,Manufacturing (C),"Quarterly change, %",-0.3
2013Q2,Manufacturing (C),"Annual change, %",5.4
2013Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,63.6
2013Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-0.2
2013Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",6.2
2013Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,65.8
2013Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-1.7
2013Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",4.8
2013Q2,Construction (F),Value of index,70.5
2013Q2,Construction (F),"Quarterly change, %",2.6
2013Q2,Construction (F),"Annual change, %",4.8
2013Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,65.1
2013Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",1.9
2013Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.7
2013Q2,Transportation and storage (H),Value of index,66.5
2013Q2,Transportation and storage (H),"Quarterly change, %",-0.8
2013Q2,Transportation and storage (H),"Annual change, %",5.7
2013Q2,Accommodation and food service activities (I),Value of index,66.3
2013Q2,Accommodation and food service activities (I),"Quarterly change, %",2.6
2013Q2,Accommodation and food service activities (I),"Annual change, %",6.3
2013Q2,Information and communication (J),Value of index,67.5
2013Q2,Information and communication (J),"Quarterly change, %",1.4
2013Q2,Information and communication (J),"Annual change, %",7.3
2013Q2,Financial and insurance activities (K),Value of index,65.6
2013Q2,Financial and insurance activities (K),"Quarterly change, %",1.9
2013Q2,Financial and insurance activities (K),"Annual change, %",9.2
2013Q2,Real estate activities (L),Value of index,66.5
2013Q2,Real estate activities (L),"Quarterly change, %",0
2013Q2,Real estate activities (L),"Annual change, %",3.4
2013Q2,"Professional, scientific and technical activities (M)",Value of index,71.1
2013Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",-0.2
2013Q2,"Professional, scientific and technical activities (M)","Annual change, %",5.2
2013Q2,Administrative and support service activities (N),Value of index,67
2013Q2,Administrative and support service activities (N),"Quarterly change, %",2.3
2013Q2,Administrative and support service activities (N),"Annual change, %",7.5
2013Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,63.6
2013Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",2.6
2013Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",6
2013Q3,Total,Value of index,63.1
2013Q3,Total,"Quarterly change, %",-3.2
2013Q3,Total,"Annual change, %",6.2
2013Q3,Private sector,Value of index,64.3
2013Q3,Private sector,"Quarterly change, %",-3.5
2013Q3,Private sector,"Annual change, %",5.6
2013Q3,Public sector,Value of index,61.3
2013Q3,Public sector,"Quarterly change, %",-3.3
2013Q3,Public sector,"Annual change, %",6.1
2013Q3,Manufacturing (C),Value of index,62.4
2013Q3,Manufacturing (C),"Quarterly change, %",-3.4
2013Q3,Manufacturing (C),"Annual change, %",5.2
2013Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,60.9
2013Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-4.3
2013Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",6.5
2013Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,63.1
2013Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-4.1
2013Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",4.5
2013Q3,Construction (F),Value of index,68.1
2013Q3,Construction (F),"Quarterly change, %",-3.4
2013Q3,Construction (F),"Annual change, %",6.4
2013Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,62.7
2013Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-3.7
2013Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.3
2013Q3,Transportation and storage (H),Value of index,64.2
2013Q3,Transportation and storage (H),"Quarterly change, %",-3.5
2013Q3,Transportation and storage (H),"Annual change, %",5.8
2013Q3,Accommodation and food service activities (I),Value of index,64.8
2013Q3,Accommodation and food service activities (I),"Quarterly change, %",-2.3
2013Q3,Accommodation and food service activities (I),"Annual change, %",6.1
2013Q3,Information and communication (J),Value of index,65.5
2013Q3,Information and communication (J),"Quarterly change, %",-3
2013Q3,Information and communication (J),"Annual change, %",6
2013Q3,Financial and insurance activities (K),Value of index,63.8
2013Q3,Financial and insurance activities (K),"Quarterly change, %",-2.8
2013Q3,Financial and insurance activities (K),"Annual change, %",7.8
2013Q3,Real estate activities (L),Value of index,66.4
2013Q3,Real estate activities (L),"Quarterly change, %",-0.2
2013Q3,Real estate activities (L),"Annual change, %",7.4
2013Q3,"Professional, scientific and technical activities (M)",Value of index,68.8
2013Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-3.2
2013Q3,"Professional, scientific and technical activities (M)","Annual change, %",5
2013Q3,Administrative and support service activities (N),Value of index,64.9
2013Q3,Administrative and support service activities (N),"Quarterly change, %",-3.1
2013Q3,Administrative and support service activities (N),"Annual change, %",7.1
2013Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,61.4
2013Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-3.5
2013Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",6.2
2013Q4,Total,Value of index,69.7
2013Q4,Total,"Quarterly change, %",10.5
2013Q4,Total,"Annual change, %",6.7
2013Q4,Private sector,Value of index,71.7
2013Q4,Private sector,"Quarterly change, %",11.5
2013Q4,Private sector,"Annual change, %",7.2
2013Q4,Public sector,Value of index,66.9
2013Q4,Public sector,"Quarterly change, %",9.1
2013Q4,Public sector,"Annual change, %",5.7
2013Q4,Manufacturing (C),Value of index,68.5
2013Q4,Manufacturing (C),"Quarterly change, %",9.8
2013Q4,Manufacturing (C),"Annual change, %",5.5
2013Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,70.4
2013Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",15.6
2013Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",5.2
2013Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,70.6
2013Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",11.9
2013Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",6.3
2013Q4,Construction (F),Value of index,74.4
2013Q4,Construction (F),"Quarterly change, %",9.3
2013Q4,Construction (F),"Annual change, %",5.4
2013Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,68.5
2013Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",9.3
