Atvinnugrein (ÍSAT2008),vsk-þrep,Ár,Tímabil,value
33 Repair and installation of machinery and equipment,Lower VAT-rate,2014,July-August,9.6
33 Repair and installation of machinery and equipment,Lower VAT-rate,2014,Sept.-Oct.,3.2
33 Repair and installation of machinery and equipment,Lower VAT-rate,2014,Nov.-Dec.,4
33 Repair and installation of machinery and equipment,Lower VAT-rate,2015,Jan.-Feb.,2.2
33 Repair and installation of machinery and equipment,Lower VAT-rate,2015,March-April,4.8
33 Repair and installation of machinery and equipment,Lower VAT-rate,2015,May-June,9.4
33 Repair and installation of machinery and equipment,Lower VAT-rate,2015,July-August,10.6
33 Repair and installation of machinery and equipment,Lower VAT-rate,2015,Sept.-Oct.,5.2
33 Repair and installation of machinery and equipment,Lower VAT-rate,2015,Nov.-Dec.,7.8
33 Repair and installation of machinery and equipment,Lower VAT-rate,2016,Jan.-Feb.,3.7
33 Repair and installation of machinery and equipment,Lower VAT-rate,2016,March-April,7
33 Repair and installation of machinery and equipment,Lower VAT-rate,2016,May-June,8.9
33 Repair and installation of machinery and equipment,Lower VAT-rate,2016,July-August,7.1
33 Repair and installation of machinery and equipment,Lower VAT-rate,2016,Sept.-Oct.,4.6
33 Repair and installation of machinery and equipment,Lower VAT-rate,2016,Nov.-Dec.,5.2
33 Repair and installation of machinery and equipment,Lower VAT-rate,2017,Jan.-Feb.,4.9
33 Repair and installation of machinery and equipment,Lower VAT-rate,2017,March-April,5.1
33 Repair and installation of machinery and equipment,Lower VAT-rate,2017,May-June,7.8
33 Repair and installation of machinery and equipment,Lower VAT-rate,2017,July-August,10.6
33 Repair and installation of machinery and equipment,Lower VAT-rate,2017,Sept.-Oct.,4.7
33 Repair and installation of machinery and equipment,Lower VAT-rate,2017,Nov.-Dec.,6.3
33 Repair and installation of machinery and equipment,Lower VAT-rate,2018,Jan.-Feb.,8.5
33 Repair and installation of machinery and equipment,Lower VAT-rate,2018,March-April,14.6
33 Repair and installation of machinery and equipment,Lower VAT-rate,2018,May-June,18.7
33 Repair and installation of machinery and equipment,Lower VAT-rate,2018,July-August,17.9
33 Repair and installation of machinery and equipment,Lower VAT-rate,2018,Sept.-Oct.,5.6
33 Repair and installation of machinery and equipment,Lower VAT-rate,2018,Nov.-Dec.,9.1
33 Repair and installation of machinery and equipment,Lower VAT-rate,2019,Jan.-Feb.,5.5
33 Repair and installation of machinery and equipment,Lower VAT-rate,2019,March-April,13
33 Repair and installation of machinery and equipment,Lower VAT-rate,2019,May-June,13.4
33 Repair and installation of machinery and equipment,Lower VAT-rate,2019,July-August,15.9
33 Repair and installation of machinery and equipment,Lower VAT-rate,2019,Sept.-Oct.,12
33 Repair and installation of machinery and equipment,Lower VAT-rate,2019,Nov.-Dec.,15.5
33 Repair and installation of machinery and equipment,Lower VAT-rate,2020,Jan.-Feb.,9.3
33 Repair and installation of machinery and equipment,Lower VAT-rate,2020,March-April,6.5
33 Repair and installation of machinery and equipment,Lower VAT-rate,2020,May-June,7.4
33 Repair and installation of machinery and equipment,Lower VAT-rate,2020,July-August,14.4
33 Repair and installation of machinery and equipment,Lower VAT-rate,2020,Sept.-Oct.,6.4
33 Repair and installation of machinery and equipment,Lower VAT-rate,2020,Nov.-Dec.,8.2
33 Repair and installation of machinery and equipment,Lower VAT-rate,2021,Jan.-Feb.,8
33 Repair and installation of machinery and equipment,Lower VAT-rate,2021,March-April,8.1
33 Repair and installation of machinery and equipment,Lower VAT-rate,2021,May-June,13
33 Repair and installation of machinery and equipment,Lower VAT-rate,2021,July-August,15.6
33 Repair and installation of machinery and equipment,Lower VAT-rate,2021,Sept.-Oct.,6.2
33 Repair and installation of machinery and equipment,Lower VAT-rate,2021,Nov.-Dec.,11.4
33 Repair and installation of machinery and equipment,Lower VAT-rate,2022,Jan.-Feb.,10
33 Repair and installation of machinery and equipment,Lower VAT-rate,2022,March-April,8.5
33 Repair and installation of machinery and equipment,Lower VAT-rate,2022,May-June,29.1
33 Repair and installation of machinery and equipment,Lower VAT-rate,2022,July-August,22.1
33 Repair and installation of machinery and equipment,Lower VAT-rate,2022,Sept.-Oct.,11.5
33 Repair and installation of machinery and equipment,Lower VAT-rate,2022,Nov.-Dec.,15
33 Repair and installation of machinery and equipment,Lower VAT-rate,2023,Jan.-Feb.,9.8
33 Repair and installation of machinery and equipment,Lower VAT-rate,2023,March-April,9
33 Repair and installation of machinery and equipment,Lower VAT-rate,2023,May-June,30.5
33 Repair and installation of machinery and equipment,Lower VAT-rate,2023,July-August,21.5
33 Repair and installation of machinery and equipment,Lower VAT-rate,2023,Sept.-Oct.,15.4
33 Repair and installation of machinery and equipment,Lower VAT-rate,2023,Nov.-Dec.,14.2
33 Repair and installation of machinery and equipment,Lower VAT-rate,2024,Jan.-Feb.,10.2
33 Repair and installation of machinery and equipment,Lower VAT-rate,2024,March-April,10
33 Repair and installation of machinery and equipment,Lower VAT-rate,2024,May-June,30.2
33 Repair and installation of machinery and equipment,Lower VAT-rate,2024,July-August,19.8
33 Repair and installation of machinery and equipment,Lower VAT-rate,2024,Sept.-Oct.,13.5
33 Repair and installation of machinery and equipment,Lower VAT-rate,2024,Nov.-Dec.,11
33 Repair and installation of machinery and equipment,Lower VAT-rate,2025,Jan.-Feb.,9.4
33 Repair and installation of machinery and equipment,Lower VAT-rate,2025,March-April,10.3
33 Repair and installation of machinery and equipment,Lower VAT-rate,2025,May-June,24.6
33 Repair and installation of machinery and equipment,Lower VAT-rate,2025,July-August,19.9
33 Repair and installation of machinery and equipment,Lower VAT-rate,2025,Sept.-Oct.,15.8
33 Repair and installation of machinery and equipment,Lower VAT-rate,2025,Nov.-Dec.,14.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2008,Jan.-Feb.,1281
33 Repair and installation of machinery and equipment,Standard VAT-rate,2008,March-April,1862.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2008,May-June,2412.1
33 Repair and installation of machinery and equipment,Standard VAT-rate,2008,July-August,1777
33 Repair and installation of machinery and equipment,Standard VAT-rate,2008,Sept.-Oct.,1925.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2008,Nov.-Dec.,2320.5
33 Repair and installation of machinery and equipment,Standard VAT-rate,2009,Jan.-Feb.,1415.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2009,March-April,1594.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2009,May-June,1515.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2009,July-August,1603.6
33 Repair and installation of machinery and equipment,Standard VAT-rate,2009,Sept.-Oct.,1641.5
33 Repair and installation of machinery and equipment,Standard VAT-rate,2009,Nov.-Dec.,1979.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2010,Jan.-Feb.,1300.8
33 Repair and installation of machinery and equipment,Standard VAT-rate,2010,March-April,1745.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2010,May-June,1651.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2010,July-August,1626.1
33 Repair and installation of machinery and equipment,Standard VAT-rate,2010,Sept.-Oct.,1864.8
33 Repair and installation of machinery and equipment,Standard VAT-rate,2010,Nov.-Dec.,2114.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2011,Jan.-Feb.,1485.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2011,March-April,1748.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2011,May-June,1965
33 Repair and installation of machinery and equipment,Standard VAT-rate,2011,July-August,1954.3
33 Repair and installation of machinery and equipment,Standard VAT-rate,2011,Sept.-Oct.,2129.8
33 Repair and installation of machinery and equipment,Standard VAT-rate,2011,Nov.-Dec.,3767.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2012,Jan.-Feb.,1821.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2012,March-April,2027
33 Repair and installation of machinery and equipment,Standard VAT-rate,2012,May-June,2323.1
33 Repair and installation of machinery and equipment,Standard VAT-rate,2012,July-August,2080.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2012,Sept.-Oct.,2706.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2012,Nov.-Dec.,3003.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2013,Jan.-Feb.,1921.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2013,March-April,2257.3
33 Repair and installation of machinery and equipment,Standard VAT-rate,2013,May-June,2652.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2013,July-August,2220.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2013,Sept.-Oct.,2564.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2013,Nov.-Dec.,2916.1
33 Repair and installation of machinery and equipment,Standard VAT-rate,2014,Jan.-Feb.,2072.1
33 Repair and installation of machinery and equipment,Standard VAT-rate,2014,March-April,2247.8
33 Repair and installation of machinery and equipment,Standard VAT-rate,2014,May-June,2821.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2014,July-August,2376
33 Repair and installation of machinery and equipment,Standard VAT-rate,2014,Sept.-Oct.,2659.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2014,Nov.-Dec.,3211.6
33 Repair and installation of machinery and equipment,Standard VAT-rate,2015,Jan.-Feb.,2351.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2015,March-April,2700
33 Repair and installation of machinery and equipment,Standard VAT-rate,2015,May-June,2889.6
33 Repair and installation of machinery and equipment,Standard VAT-rate,2015,July-August,2545.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2015,Sept.-Oct.,2969.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2015,Nov.-Dec.,3679
33 Repair and installation of machinery and equipment,Standard VAT-rate,2016,Jan.-Feb.,2227.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2016,March-April,2740
33 Repair and installation of machinery and equipment,Standard VAT-rate,2016,May-June,3013.5
33 Repair and installation of machinery and equipment,Standard VAT-rate,2016,July-August,3166
33 Repair and installation of machinery and equipment,Standard VAT-rate,2016,Sept.-Oct.,2881.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2016,Nov.-Dec.,3309.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2017,Jan.-Feb.,3343.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2017,March-April,2505.1
33 Repair and installation of machinery and equipment,Standard VAT-rate,2017,May-June,3468
33 Repair and installation of machinery and equipment,Standard VAT-rate,2017,July-August,2757
33 Repair and installation of machinery and equipment,Standard VAT-rate,2017,Sept.-Oct.,3344.5
33 Repair and installation of machinery and equipment,Standard VAT-rate,2017,Nov.-Dec.,3451.8
33 Repair and installation of machinery and equipment,Standard VAT-rate,2018,Jan.-Feb.,2307.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2018,March-April,3512.6
33 Repair and installation of machinery and equipment,Standard VAT-rate,2018,May-June,3230.8
33 Repair and installation of machinery and equipment,Standard VAT-rate,2018,July-August,2738.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2018,Sept.-Oct.,3471.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2018,Nov.-Dec.,3258.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2019,Jan.-Feb.,2728.8
33 Repair and installation of machinery and equipment,Standard VAT-rate,2019,March-April,3017.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2019,May-June,3072.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2019,July-August,2664.3
33 Repair and installation of machinery and equipment,Standard VAT-rate,2019,Sept.-Oct.,3115.6
33 Repair and installation of machinery and equipment,Standard VAT-rate,2019,Nov.-Dec.,3206.8
33 Repair and installation of machinery and equipment,Standard VAT-rate,2020,Jan.-Feb.,2309.5
33 Repair and installation of machinery and equipment,Standard VAT-rate,2020,March-April,2454.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2020,May-June,2695.3
33 Repair and installation of machinery and equipment,Standard VAT-rate,2020,July-August,2569.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2020,Sept.-Oct.,3021.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2020,Nov.-Dec.,3548.5
33 Repair and installation of machinery and equipment,Standard VAT-rate,2021,Jan.-Feb.,2418.3
33 Repair and installation of machinery and equipment,Standard VAT-rate,2021,March-April,2951.8
33 Repair and installation of machinery and equipment,Standard VAT-rate,2021,May-June,3113.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2021,July-August,2744.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2021,Sept.-Oct.,3091.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2021,Nov.-Dec.,3952.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2022,Jan.-Feb.,2628.6
33 Repair and installation of machinery and equipment,Standard VAT-rate,2022,March-April,3038.1
33 Repair and installation of machinery and equipment,Standard VAT-rate,2022,May-June,3182.6
33 Repair and installation of machinery and equipment,Standard VAT-rate,2022,July-August,2798.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2022,Sept.-Oct.,3712.1
33 Repair and installation of machinery and equipment,Standard VAT-rate,2022,Nov.-Dec.,4126.5
33 Repair and installation of machinery and equipment,Standard VAT-rate,2023,Jan.-Feb.,3372
33 Repair and installation of machinery and equipment,Standard VAT-rate,2023,March-April,3809.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2023,May-June,4321.7
33 Repair and installation of machinery and equipment,Standard VAT-rate,2023,July-August,3936.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2023,Sept.-Oct.,4552.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2023,Nov.-Dec.,4584.3
33 Repair and installation of machinery and equipment,Standard VAT-rate,2024,Jan.-Feb.,3862.5
33 Repair and installation of machinery and equipment,Standard VAT-rate,2024,March-April,4256.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2024,May-June,4757.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2024,July-August,4395.5
33 Repair and installation of machinery and equipment,Standard VAT-rate,2024,Sept.-Oct.,5027.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2024,Nov.-Dec.,5063.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2025,Jan.-Feb.,4440.6
33 Repair and installation of machinery and equipment,Standard VAT-rate,2025,March-April,4565.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2025,May-June,4882.9
33 Repair and installation of machinery and equipment,Standard VAT-rate,2025,July-August,4756.2
33 Repair and installation of machinery and equipment,Standard VAT-rate,2025,Sept.-Oct.,4994.4
33 Repair and installation of machinery and equipment,Standard VAT-rate,2025,Nov.-Dec.,5426.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2008,Jan.-Feb.,18254.2
"35 Electricity,  gas, steam and air conditioning supply",Total,2008,March-April,22935.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2008,May-June,22467.9
"35 Electricity,  gas, steam and air conditioning supply",Total,2008,July-August,24157.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2008,Sept.-Oct.,25722.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2008,Nov.-Dec.,25753.2
"35 Electricity,  gas, steam and air conditioning supply",Total,2009,Jan.-Feb.,19101.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2009,March-April,18737.9
"35 Electricity,  gas, steam and air conditioning supply",Total,2009,May-June,22583.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2009,July-August,18820.2
"35 Electricity,  gas, steam and air conditioning supply",Total,2009,Sept.-Oct.,23310.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2009,Nov.-Dec.,25577
"35 Electricity,  gas, steam and air conditioning supply",Total,2010,Jan.-Feb.,19917.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2010,March-April,22886.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2010,May-June,26412.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2010,July-August,20423.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2010,Sept.-Oct.,22102.5
"35 Electricity,  gas, steam and air conditioning supply",Total,2010,Nov.-Dec.,24592.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2011,Jan.-Feb.,21648.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2011,March-April,22042.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2011,May-June,21794.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2011,July-August,20648
"35 Electricity,  gas, steam and air conditioning supply",Total,2011,Sept.-Oct.,21743.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2011,Nov.-Dec.,26569.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2012,Jan.-Feb.,21439.5
"35 Electricity,  gas, steam and air conditioning supply",Total,2012,March-April,21244.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2012,May-June,20625
"35 Electricity,  gas, steam and air conditioning supply",Total,2012,July-August,19582.5
"35 Electricity,  gas, steam and air conditioning supply",Total,2012,Sept.-Oct.,21330.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2012,Nov.-Dec.,26060.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2013,Jan.-Feb.,22621
"35 Electricity,  gas, steam and air conditioning supply",Total,2013,March-April,21613.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2013,May-June,20777.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2013,July-August,20884.9
"35 Electricity,  gas, steam and air conditioning supply",Total,2013,Sept.-Oct.,22048.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2013,Nov.-Dec.,26409.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2014,Jan.-Feb.,21584.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2014,March-April,22273.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2014,May-June,21475.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2014,July-August,22236.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2014,Sept.-Oct.,24254.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2014,Nov.-Dec.,31266.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2015,Jan.-Feb.,25282.2
"35 Electricity,  gas, steam and air conditioning supply",Total,2015,March-April,25182.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2015,May-June,25341.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2015,July-August,23933
"35 Electricity,  gas, steam and air conditioning supply",Total,2015,Sept.-Oct.,24899.2
"35 Electricity,  gas, steam and air conditioning supply",Total,2015,Nov.-Dec.,25933.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2016,Jan.-Feb.,24495.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2016,March-April,23990.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2016,May-June,22796.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2016,July-August,21791.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2016,Sept.-Oct.,23408.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2016,Nov.-Dec.,26196.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2017,Jan.-Feb.,24232.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2017,March-April,24751.2
"35 Electricity,  gas, steam and air conditioning supply",Total,2017,May-June,22780.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2017,July-August,22820.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2017,Sept.-Oct.,24699.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2017,Nov.-Dec.,27939.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2018,Jan.-Feb.,26983.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2018,March-April,26340.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2018,May-June,26104.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2018,July-August,26056.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2018,Sept.-Oct.,28147.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2018,Nov.-Dec.,30399.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2019,Jan.-Feb.,28569.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2019,March-April,29036.9
"35 Electricity,  gas, steam and air conditioning supply",Total,2019,May-June,27926.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2019,July-August,26285.2
"35 Electricity,  gas, steam and air conditioning supply",Total,2019,Sept.-Oct.,27230.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2019,Nov.-Dec.,30810.9
"35 Electricity,  gas, steam and air conditioning supply",Total,2020,Jan.-Feb.,29288.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2020,March-April,30111.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2020,May-June,27751.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2020,July-August,27498
"35 Electricity,  gas, steam and air conditioning supply",Total,2020,Sept.-Oct.,30305.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2020,Nov.-Dec.,31598.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2021,Jan.-Feb.,29881.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2021,March-April,31472.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2021,May-June,30448.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2021,July-August,31355.2
"35 Electricity,  gas, steam and air conditioning supply",Total,2021,Sept.-Oct.,35004.2
"35 Electricity,  gas, steam and air conditioning supply",Total,2021,Nov.-Dec.,40115.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2022,Jan.-Feb.,36438.6
"35 Electricity,  gas, steam and air conditioning supply",Total,2022,March-April,39977.9
"35 Electricity,  gas, steam and air conditioning supply",Total,2022,May-June,37881.9
"35 Electricity,  gas, steam and air conditioning supply",Total,2022,July-August,36695.5
"35 Electricity,  gas, steam and air conditioning supply",Total,2022,Sept.-Oct.,37805.9
"35 Electricity,  gas, steam and air conditioning supply",Total,2022,Nov.-Dec.,47454.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2023,Jan.-Feb.,39518.5
"35 Electricity,  gas, steam and air conditioning supply",Total,2023,March-April,40565.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2023,May-June,37374.7
"35 Electricity,  gas, steam and air conditioning supply",Total,2023,July-August,35801.5
"35 Electricity,  gas, steam and air conditioning supply",Total,2023,Sept.-Oct.,38326
"35 Electricity,  gas, steam and air conditioning supply",Total,2023,Nov.-Dec.,40920.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2024,Jan.-Feb.,40622.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2024,March-April,42197.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2024,May-June,39612.5
"35 Electricity,  gas, steam and air conditioning supply",Total,2024,July-August,41495.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2024,Sept.-Oct.,43209.8
"35 Electricity,  gas, steam and air conditioning supply",Total,2024,Nov.-Dec.,48590.1
"35 Electricity,  gas, steam and air conditioning supply",Total,2025,Jan.-Feb.,42937.9
"35 Electricity,  gas, steam and air conditioning supply",Total,2025,March-April,45940.3
"35 Electricity,  gas, steam and air conditioning supply",Total,2025,May-June,41323.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2025,July-August,41183
"35 Electricity,  gas, steam and air conditioning supply",Total,2025,Sept.-Oct.,45332.4
"35 Electricity,  gas, steam and air conditioning supply",Total,2025,Nov.-Dec.,48278.9
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2008,Jan.-Feb.,518.7
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2008,March-April,214.1
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2008,May-June,196.9
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2008,July-August,190.7
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2008,Sept.-Oct.,204.6
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2008,Nov.-Dec.,288.4
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2009,Jan.-Feb.,461.6
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2009,March-April,207.3
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2009,May-June,202.9
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2009,July-August,216.9
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2009,Sept.-Oct.,201.1
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2009,Nov.-Dec.,503.4
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2010,Jan.-Feb.,1083.4
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2010,March-April,790.2
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2010,May-June,754.9
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2010,July-August,765.3
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2010,Sept.-Oct.,948.9
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2010,Nov.-Dec.,1281.4
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2011,Jan.-Feb.,893.1
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2011,March-April,1031.4
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2011,May-June,952.4
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2011,July-August,989.4
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2011,Sept.-Oct.,1161.1
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2011,Nov.-Dec.,572.6
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2012,Jan.-Feb.,979.8
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2012,March-April,742
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2012,May-June,1316.2
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2012,July-August,970
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2012,Sept.-Oct.,1148.3
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2012,Nov.-Dec.,1132.7
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2013,Jan.-Feb.,976.6
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2013,March-April,827.5
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2013,May-June,623.9
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2013,July-August,830.2
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2013,Sept.-Oct.,854.1
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2013,Nov.-Dec.,959.1
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2014,Jan.-Feb.,744
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2014,March-April,102.2
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2014,May-June,558.1
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2014,July-August,630.4
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2014,Sept.-Oct.,957
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2014,Nov.-Dec.,4968.6
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2015,Jan.-Feb.,595.3
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2015,March-April,585.9
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2015,May-June,590.5
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2015,July-August,568
"35 Electricity,  gas, steam and air conditioning supply",Zero VAT-rate,2015,Sept.-Oct.,519.1
