Atvinnugrein (ÍSAT2008),vsk-þrep,Ár,Tímabil,value
Total,Zero VAT-rate,2010,Nov.-Dec.,193351.3
Total,Zero VAT-rate,2011,Jan.-Feb.,147063.1
Total,Zero VAT-rate,2011,March-April,171467.4
Total,Zero VAT-rate,2011,May-June,197468.8
Total,Zero VAT-rate,2011,July-August,210120.1
Total,Zero VAT-rate,2011,Sept.-Oct.,207380.5
Total,Zero VAT-rate,2011,Nov.-Dec.,191489.2
Total,Zero VAT-rate,2012,Jan.-Feb.,175915.1
Total,Zero VAT-rate,2012,March-April,192229.6
Total,Zero VAT-rate,2012,May-June,207562.1
Total,Zero VAT-rate,2012,July-August,209094.8
Total,Zero VAT-rate,2012,Sept.-Oct.,212634.4
Total,Zero VAT-rate,2012,Nov.-Dec.,202911.7
Total,Zero VAT-rate,2013,Jan.-Feb.,186150.8
Total,Zero VAT-rate,2013,March-April,187559.6
Total,Zero VAT-rate,2013,May-June,198713.2
Total,Zero VAT-rate,2013,July-August,213490.6
Total,Zero VAT-rate,2013,Sept.-Oct.,218393.8
Total,Zero VAT-rate,2013,Nov.-Dec.,213416.3
Total,Zero VAT-rate,2014,Jan.-Feb.,168978.2
Total,Zero VAT-rate,2014,March-April,177359.4
Total,Zero VAT-rate,2014,May-June,198239.9
Total,Zero VAT-rate,2014,July-August,212654.1
Total,Zero VAT-rate,2014,Sept.-Oct.,223797.1
Total,Zero VAT-rate,2014,Nov.-Dec.,226688.6
Total,Zero VAT-rate,2015,Jan.-Feb.,188269
Total,Zero VAT-rate,2015,March-April,218539.9
Total,Zero VAT-rate,2015,May-June,230851.5
Total,Zero VAT-rate,2015,July-August,227396.3
Total,Zero VAT-rate,2015,Sept.-Oct.,217529
Total,Zero VAT-rate,2015,Nov.-Dec.,231203.5
Total,Zero VAT-rate,2016,Jan.-Feb.,168512.4
Total,Zero VAT-rate,2016,March-April,197365.9
Total,Zero VAT-rate,2016,May-June,223978.3
Total,Zero VAT-rate,2016,July-August,229203.8
Total,Zero VAT-rate,2016,Sept.-Oct.,215394.2
Total,Zero VAT-rate,2016,Nov.-Dec.,191934.1
Total,Zero VAT-rate,2017,Jan.-Feb.,160805.4
Total,Zero VAT-rate,2017,March-April,199024.9
Total,Zero VAT-rate,2017,May-June,217505.3
Total,Zero VAT-rate,2017,July-August,220918.1
Total,Zero VAT-rate,2017,Sept.-Oct.,232645.5
Total,Zero VAT-rate,2017,Nov.-Dec.,231765.3
Total,Zero VAT-rate,2018,Jan.-Feb.,193512.8
Total,Zero VAT-rate,2018,March-April,219171.8
Total,Zero VAT-rate,2018,May-June,250258.4
Total,Zero VAT-rate,2018,July-August,248313.6
Total,Zero VAT-rate,2018,Sept.-Oct.,254327.2
Total,Zero VAT-rate,2018,Nov.-Dec.,249900.6
Total,Zero VAT-rate,2019,Jan.-Feb.,220352.6
Total,Zero VAT-rate,2019,March-April,233486.3
Total,Zero VAT-rate,2019,May-June,239768
Total,Zero VAT-rate,2019,July-August,243623.8
Total,Zero VAT-rate,2019,Sept.-Oct.,255234.7
Total,Zero VAT-rate,2019,Nov.-Dec.,249001.8
Total,Zero VAT-rate,2020,Jan.-Feb.,201637.1
Total,Zero VAT-rate,2020,March-April,202048.2
Total,Zero VAT-rate,2020,May-June,185704.8
Total,Zero VAT-rate,2020,July-August,190200.4
Total,Zero VAT-rate,2020,Sept.-Oct.,233268.8
Total,Zero VAT-rate,2020,Nov.-Dec.,242366
Total,Zero VAT-rate,2021,Jan.-Feb.,189888.7
Total,Zero VAT-rate,2021,March-April,253248.1
Total,Zero VAT-rate,2021,May-June,239249.1
Total,Zero VAT-rate,2021,July-August,256206.4
Total,Zero VAT-rate,2021,Sept.-Oct.,309932.5
Total,Zero VAT-rate,2021,Nov.-Dec.,346402.2
Total,Zero VAT-rate,2022,Jan.-Feb.,271527.6
Total,Zero VAT-rate,2022,March-April,344537.5
Total,Zero VAT-rate,2022,May-June,365710.2
Total,Zero VAT-rate,2022,July-August,352060.7
Total,Zero VAT-rate,2022,Sept.-Oct.,365846.2
Total,Zero VAT-rate,2022,Nov.-Dec.,372531.4
Total,Zero VAT-rate,2023,Jan.-Feb.,306613.7
Total,Zero VAT-rate,2023,March-April,343414
Total,Zero VAT-rate,2023,May-June,361968.9
Total,Zero VAT-rate,2023,July-August,342527.2
Total,Zero VAT-rate,2023,Sept.-Oct.,367701.5
Total,Zero VAT-rate,2023,Nov.-Dec.,368858.9
Total,Zero VAT-rate,2024,Jan.-Feb.,303434.5
Total,Zero VAT-rate,2024,March-April,318781.1
Total,Zero VAT-rate,2024,May-June,347362.1
Total,Zero VAT-rate,2024,July-August,362346.9
Total,Zero VAT-rate,2024,Sept.-Oct.,370183.9
Total,Zero VAT-rate,2024,Nov.-Dec.,357771.3
Total,Zero VAT-rate,2025,Jan.-Feb.,304220.6
Total,Zero VAT-rate,2025,March-April,335741.8
Total,Zero VAT-rate,2025,May-June,326938.3
Total,Zero VAT-rate,2025,July-August,337381.9
Total,Zero VAT-rate,2025,Sept.-Oct.,391550.7
Total,Zero VAT-rate,2025,Nov.-Dec.,
Total,Lower VAT-rate,2008,Jan.-Feb.,55364.6
Total,Lower VAT-rate,2008,March-April,66428.1
Total,Lower VAT-rate,2008,May-June,67967.8
Total,Lower VAT-rate,2008,July-August,69885.8
Total,Lower VAT-rate,2008,Sept.-Oct.,66069
Total,Lower VAT-rate,2008,Nov.-Dec.,72009
Total,Lower VAT-rate,2009,Jan.-Feb.,62052.7
Total,Lower VAT-rate,2009,March-April,69509.5
Total,Lower VAT-rate,2009,May-June,75845.8
Total,Lower VAT-rate,2009,July-August,82005.3
Total,Lower VAT-rate,2009,Sept.-Oct.,74315.6
Total,Lower VAT-rate,2009,Nov.-Dec.,78694.8
Total,Lower VAT-rate,2010,Jan.-Feb.,69562.1
Total,Lower VAT-rate,2010,March-April,80449.5
Total,Lower VAT-rate,2010,May-June,84272.7
Total,Lower VAT-rate,2010,July-August,85897.3
Total,Lower VAT-rate,2010,Sept.-Oct.,77501.3
Total,Lower VAT-rate,2010,Nov.-Dec.,82846.7
Total,Lower VAT-rate,2011,Jan.-Feb.,70533.5
Total,Lower VAT-rate,2011,March-April,81388.8
Total,Lower VAT-rate,2011,May-June,91814.3
Total,Lower VAT-rate,2011,July-August,98095
Total,Lower VAT-rate,2011,Sept.-Oct.,90126.8
Total,Lower VAT-rate,2011,Nov.-Dec.,93571.4
Total,Lower VAT-rate,2012,Jan.-Feb.,82837
Total,Lower VAT-rate,2012,March-April,93106.6
Total,Lower VAT-rate,2012,May-June,102412.6
Total,Lower VAT-rate,2012,July-August,106979.7
Total,Lower VAT-rate,2012,Sept.-Oct.,96814
Total,Lower VAT-rate,2012,Nov.-Dec.,97748.6
Total,Lower VAT-rate,2013,Jan.-Feb.,90802.9
Total,Lower VAT-rate,2013,March-April,95226
Total,Lower VAT-rate,2013,May-June,104082
Total,Lower VAT-rate,2013,July-August,116361.4
Total,Lower VAT-rate,2013,Sept.-Oct.,104372.8
Total,Lower VAT-rate,2013,Nov.-Dec.,103401.4
Total,Lower VAT-rate,2014,Jan.-Feb.,90512.2
Total,Lower VAT-rate,2014,March-April,102034.1
Total,Lower VAT-rate,2014,May-June,110919.5
Total,Lower VAT-rate,2014,July-August,121852.4
Total,Lower VAT-rate,2014,Sept.-Oct.,108733.4
Total,Lower VAT-rate,2014,Nov.-Dec.,112074.6
Total,Lower VAT-rate,2015,Jan.-Feb.,95393.7
Total,Lower VAT-rate,2015,March-April,109258.6
Total,Lower VAT-rate,2015,May-June,117750.5
Total,Lower VAT-rate,2015,July-August,130917.4
Total,Lower VAT-rate,2015,Sept.-Oct.,113268.5
Total,Lower VAT-rate,2015,Nov.-Dec.,114168.5
Total,Lower VAT-rate,2016,Jan.-Feb.,119847.8
Total,Lower VAT-rate,2016,March-April,137055.1
Total,Lower VAT-rate,2016,May-June,159628.7
Total,Lower VAT-rate,2016,July-August,182564.6
Total,Lower VAT-rate,2016,Sept.-Oct.,151095.6
Total,Lower VAT-rate,2016,Nov.-Dec.,148309.8
Total,Lower VAT-rate,2017,Jan.-Feb.,117050.2
Total,Lower VAT-rate,2017,March-April,142094.4
Total,Lower VAT-rate,2017,May-June,158702.2
Total,Lower VAT-rate,2017,July-August,183332.6
Total,Lower VAT-rate,2017,Sept.-Oct.,157379.4
Total,Lower VAT-rate,2017,Nov.-Dec.,152053.3
Total,Lower VAT-rate,2018,Jan.-Feb.,129448.6
Total,Lower VAT-rate,2018,March-April,145416.1
Total,Lower VAT-rate,2018,May-June,165836.8
Total,Lower VAT-rate,2018,July-August,192315.4
Total,Lower VAT-rate,2018,Sept.-Oct.,164778.4
Total,Lower VAT-rate,2018,Nov.-Dec.,162319.9
Total,Lower VAT-rate,2019,Jan.-Feb.,143005.2
Total,Lower VAT-rate,2019,March-April,154243.2
Total,Lower VAT-rate,2019,May-June,175253.9
Total,Lower VAT-rate,2019,July-August,202881.4
Total,Lower VAT-rate,2019,Sept.-Oct.,169102.2
Total,Lower VAT-rate,2019,Nov.-Dec.,162210.4
Total,Lower VAT-rate,2020,Jan.-Feb.,141986.5
Total,Lower VAT-rate,2020,March-April,133540
Total,Lower VAT-rate,2020,May-June,139646.5
Total,Lower VAT-rate,2020,July-August,158395.2
Total,Lower VAT-rate,2020,Sept.-Oct.,140936.5
Total,Lower VAT-rate,2020,Nov.-Dec.,143715.5
Total,Lower VAT-rate,2021,Jan.-Feb.,125793.2
Total,Lower VAT-rate,2021,March-April,148954.6
Total,Lower VAT-rate,2021,May-June,168087.2
Total,Lower VAT-rate,2021,July-August,207312.7
Total,Lower VAT-rate,2021,Sept.-Oct.,185235.7
Total,Lower VAT-rate,2021,Nov.-Dec.,185151.7
Total,Lower VAT-rate,2022,Jan.-Feb.,151866.3
Total,Lower VAT-rate,2022,March-April,193548.4
Total,Lower VAT-rate,2022,May-June,225569
Total,Lower VAT-rate,2022,July-August,253817.3
Total,Lower VAT-rate,2022,Sept.-Oct.,225468.9
Total,Lower VAT-rate,2022,Nov.-Dec.,219556.3
Total,Lower VAT-rate,2023,Jan.-Feb.,193463.6
Total,Lower VAT-rate,2023,March-April,224308.2
Total,Lower VAT-rate,2023,May-June,262727
Total,Lower VAT-rate,2023,July-August,292555
Total,Lower VAT-rate,2023,Sept.-Oct.,251388.2
Total,Lower VAT-rate,2023,Nov.-Dec.,235594.7
Total,Lower VAT-rate,2024,Jan.-Feb.,207843.7
Total,Lower VAT-rate,2024,March-April,227639.8
Total,Lower VAT-rate,2024,May-June,261814.5
Total,Lower VAT-rate,2024,July-August,300675.4
Total,Lower VAT-rate,2024,Sept.-Oct.,263893.9
Total,Lower VAT-rate,2024,Nov.-Dec.,249170.9
Total,Lower VAT-rate,2025,Jan.-Feb.,221228.6
Total,Lower VAT-rate,2025,March-April,242277.2
Total,Lower VAT-rate,2025,May-June,283971.6
Total,Lower VAT-rate,2025,July-August,328732
Total,Lower VAT-rate,2025,Sept.-Oct.,282227.9
Total,Lower VAT-rate,2025,Nov.-Dec.,
Total,Standard VAT-rate,2008,Jan.-Feb.,216272.3
Total,Standard VAT-rate,2008,March-April,240326.1
Total,Standard VAT-rate,2008,May-June,272728.8
Total,Standard VAT-rate,2008,July-August,258886.2
Total,Standard VAT-rate,2008,Sept.-Oct.,254450.2
Total,Standard VAT-rate,2008,Nov.-Dec.,256609.2
Total,Standard VAT-rate,2009,Jan.-Feb.,173696.1
