manudur,rikisfang,flokkur,fjoldi
2000-02,Landið allt,Alls,2845
2000-03,Landið allt,Alls,2801
2000-04,Landið allt,Alls,2561
2000-05,Landið allt,Alls,2241
2000-06,Landið allt,Alls,2109
2000-07,Landið allt,Alls,1967
2000-08,Landið allt,Alls,1735
2000-09,Landið allt,Alls,1506
2000-10,Landið allt,Alls,1564
2000-11,Landið allt,Alls,1902
2000-12,Landið allt,Alls,2407
2001-01,Landið allt,Alls,2541
2001-02,Landið allt,Alls,2460
2001-03,Landið allt,Alls,2265
2001-04,Landið allt,Alls,2761
2001-05,Landið allt,Alls,2095
2001-06,Landið allt,Alls,2072
2001-07,Landið allt,Alls,1992
2001-08,Landið allt,Alls,1747
2001-09,Landið allt,Alls,1856
2001-10,Landið allt,Alls,2208
2001-11,Landið allt,Alls,2712
2001-12,Landið allt,Alls,3119
2002-01,Landið allt,Alls,3827
2002-02,Landið allt,Alls,3949
2002-03,Landið allt,Alls,4046
2002-04,Landið allt,Alls,3972
2002-05,Landið allt,Alls,3970
2002-06,Landið allt,Alls,3900
2002-07,Landið allt,Alls,3903
2002-08,Landið allt,Alls,3566
2002-09,Landið allt,Alls,3583
2002-10,Landið allt,Alls,4080
2002-11,Landið allt,Alls,4582
2002-12,Landið allt,Alls,5071
2003-01,Landið allt,Alls,5859
2003-02,Landið allt,Alls,6212
2003-03,Landið allt,Alls,6043
2003-04,Landið allt,Alls,5791
2003-05,Landið allt,Alls,5798
2003-06,Landið allt,Alls,5313
2003-07,Landið allt,Alls,4975
2003-08,Landið allt,Alls,4527
2003-09,Landið allt,Alls,4347
2003-10,Landið allt,Alls,4535
2003-11,Landið allt,Alls,4912
2003-12,Landið allt,Alls,5272
2004-01,Landið allt,Alls,5511
2004-02,Landið allt,Alls,5495
2004-03,Landið allt,Alls,5408
2004-04,Landið allt,Alls,5219
2004-05,Landið allt,Alls,5435
2004-06,Landið allt,Alls,5199
2004-07,Landið allt,Alls,5112
2004-08,Landið allt,Alls,4600
2004-09,Landið allt,Alls,4259
2004-10,Landið allt,Alls,4292
2004-11,Landið allt,Alls,4352
2004-12,Landið allt,Alls,4661
2005-01,Landið allt,Alls,4760
2005-02,Landið allt,Alls,4484
2005-03,Landið allt,Alls,4069
2005-04,Landið allt,Alls,3748
2005-05,Landið allt,Alls,3628
2005-06,Landið allt,Alls,3437
2005-07,Landið allt,Alls,3422
2005-08,Landið allt,Alls,2759
2005-09,Landið allt,Alls,2450
2005-10,Landið allt,Alls,2446
2005-11,Landið allt,Alls,2562
2005-12,Landið allt,Alls,2627
2006-01,Landið allt,Alls,2720
2006-02,Landið allt,Alls,2584
2006-03,Landið allt,Alls,2417
2006-04,Landið allt,Alls,2324
2006-05,Landið allt,Alls,2333
2006-06,Landið allt,Alls,2341
2006-07,Landið allt,Alls,2451
2006-08,Landið allt,Alls,1943
2006-09,Landið allt,Alls,1779
2006-10,Landið allt,Alls,1838
2006-11,Landið allt,Alls,1919
2006-12,Landið allt,Alls,2108
2007-01,Landið allt,Alls,2153
2007-02,Landið allt,Alls,2176
2007-03,Landið allt,Alls,2072
2007-04,Landið allt,Alls,1941
2007-05,Landið allt,Alls,1960
2007-06,Landið allt,Alls,1763
2007-07,Landið allt,Alls,1712
2007-08,Landið allt,Alls,1535
2007-09,Landið allt,Alls,1494
2007-10,Landið allt,Alls,1440
2007-11,Landið allt,Alls,1468
2007-12,Landið allt,Alls,1546
2008-01,Landið allt,Alls,1752
2008-02,Landið allt,Alls,1794
2008-03,Landið allt,Alls,1888
2008-04,Landið allt,Alls,1853
2008-05,Landið allt,Alls,1970
2008-06,Landið allt,Alls,2056
2008-07,Landið allt,Alls,2246
2008-08,Landið allt,Alls,2264
2008-09,Landið allt,Alls,2514
2008-10,Landið allt,Alls,3958
2008-11,Landið allt,Alls,6340
2008-12,Landið allt,Alls,8970
2009-01,Landið allt,Alls,12390
2009-02,Landið allt,Alls,15469
2009-03,Landið allt,Alls,16809
2009-04,Landið allt,Alls,16740
2009-05,Landið allt,Alls,16378
2009-06,Landið allt,Alls,15541
2009-07,Landið allt,Alls,15209
2009-08,Landið allt,Alls,14362
2009-09,Landið allt,Alls,13738
2009-10,Landið allt,Alls,14360
2009-11,Landið allt,Alls,15008
2009-12,Landið allt,Alls,15317
2010-01,Landið allt,Alls,16373
2010-02,Landið allt,Alls,16566
2010-03,Landið allt,Alls,16475
2010-04,Landið allt,Alls,15926
2010-05,Landið allt,Alls,14860
2010-06,Landið allt,Alls,13922
2010-07,Landið allt,Alls,13624
2010-08,Landið allt,Alls,12709
2010-09,Landið allt,Alls,12645
2010-10,Landið allt,Alls,13273
2010-11,Landið allt,Alls,13614
2010-12,Landið allt,Alls,13967
2011-01,Landið allt,Alls,14684
2011-02,Landið allt,Alls,14868
2011-03,Landið allt,Alls,14860
2011-04,Landið allt,Alls,14096
2011-05,Landið allt,Alls,13292
2011-06,Landið allt,Alls,12421
2011-07,Landið allt,Alls,12249
2011-08,Landið allt,Alls,11928
2011-09,Landið allt,Alls,11482
2011-10,Landið allt,Alls,11841
2011-11,Landið allt,Alls,12350
2011-12,Landið allt,Alls,12673
2012-01,Landið allt,Alls,12075
2012-02,Landið allt,Alls,12124
2012-03,Landið allt,Alls,11812
2012-04,Landið allt,Alls,10986
2012-05,Landið allt,Alls,9849
2012-06,Landið allt,Alls,8813
2012-07,Landið allt,Alls,8692
2012-08,Landið allt,Alls,8343
2012-09,Landið allt,Alls,8185
2012-10,Landið allt,Alls,8589
2012-11,Landið allt,Alls,9057
2012-12,Landið allt,Alls,9487
2013-01,Landið allt,Alls,9289
2013-02,Landið allt,Alls,9166
2013-03,Landið allt,Alls,8888
2013-04,Landið allt,Alls,8343
2013-05,Landið allt,Alls,7837
2013-06,Landið allt,Alls,7271
2013-07,Landið allt,Alls,7284
2013-08,Landið allt,Alls,6958
2013-09,Landið allt,Alls,6480
2013-10,Landið allt,Alls,6765
2013-11,Landið allt,Alls,7076
2013-12,Landið allt,Alls,7364
2014-01,Landið allt,Alls,7846
2014-02,Landið allt,Alls,7688
2014-03,Landið allt,Alls,7583
2014-04,Landið allt,Alls,7205
2014-05,Landið allt,Alls,6591
2014-06,Landið allt,Alls,6053
2014-07,Landið allt,Alls,5975
2014-08,Landið allt,Alls,5635
2014-09,Landið allt,Alls,5481
2014-10,Landið allt,Alls,5740
2014-11,Landið allt,Alls,5838
2014-12,Landið allt,Alls,6057
2015-01,Landið allt,Alls,6306
2015-02,Landið allt,Alls,6274
2015-03,Landið allt,Alls,6251
2015-04,Landið allt,Alls,6021
2015-05,Landið allt,Alls,5438
2015-06,Landið allt,Alls,5103
2015-07,Landið allt,Alls,5013
2015-08,Landið allt,Alls,4731
2015-09,Landið allt,Alls,4487
2015-10,Landið allt,Alls,4675
2015-11,Landið allt,Alls,4858
2015-12,Landið allt,Alls,4945
2016-01,Landið allt,Alls,5261
2016-02,Landið allt,Alls,5083
2016-03,Landið allt,Alls,4893
2016-04,Landið allt,Alls,4601
2016-05,Landið allt,Alls,4272
2016-06,Landið allt,Alls,4092
2016-07,Landið allt,Alls,3937
2016-08,Landið allt,Alls,3743
2016-09,Landið allt,Alls,3580
2016-10,Landið allt,Alls,3683
2016-11,Landið allt,Alls,3946
2016-12,Landið allt,Alls,4791
2017-01,Landið allt,Alls,5808
2017-02,Landið allt,Alls,4587
2017-03,Landið allt,Alls,4430
2017-04,Landið allt,Alls,4073
2017-05,Landið allt,Alls,3856
2017-06,Landið allt,Alls,3813
2017-07,Landið allt,Alls,3824
2017-08,Landið allt,Alls,3786
2017-09,Landið allt,Alls,3655
2017-10,Landið allt,Alls,3839
2017-11,Landið allt,Alls,4145
2017-12,Landið allt,Alls,4238
2018-01,Landið allt,Alls,4668
2018-02,Landið allt,Alls,4653
2018-03,Landið allt,Alls,4601
2018-04,Landið allt,Alls,4471
2018-05,Landið allt,Alls,4456
2018-06,Landið allt,Alls,4400
2018-07,Landið allt,Alls,4509
2018-08,Landið allt,Alls,4528
2018-09,Landið allt,Alls,4367
2018-10,Landið allt,Alls,4685
2018-11,Landið allt,Alls,5077
2018-12,Landið allt,Alls,5299
2019-01,Landið allt,Alls,5965
2019-02,Landið allt,Alls,6157
2019-03,Landið allt,Alls,6932
2019-04,Landið allt,Alls,7258
2019-05,Landið allt,Alls,7192
2019-06,Landið allt,Alls,7198
2019-07,Landið allt,Alls,7285
2019-08,Landið allt,Alls,7181
2019-09,Landið allt,Alls,7101
2019-10,Landið allt,Alls,7700
2019-11,Landið allt,Alls,8279
2019-12,Landið allt,Alls,8605
2020-01,Landið allt,Alls,9618
2020-02,Landið allt,Alls,9766
2020-03,Landið allt,Alls,14221
2020-04,Landið allt,Alls,49160
2020-05,Landið allt,Alls,33205
2020-06,Landið allt,Alls,22913
2020-07,Landið allt,Alls,20915
2020-08,Landið allt,Alls,21269
2020-09,Landið allt,Alls,21749
2020-10,Landið allt,Alls,25008
2020-11,Landið allt,Alls,26352
2020-12,Landið allt,Alls,26473
2021-01,Landið allt,Alls,26401
2021-02,Landið allt,Alls,25678
2021-03,Landið allt,Alls,25203
2021-04,Landið allt,Alls,24270
2021-05,Landið allt,Alls,21055
2021-06,Landið allt,Alls,14316
2021-07,Landið allt,Alls,12537
2021-08,Landið allt,Alls,11499
2021-09,Landið allt,Alls,10428
2021-10,Landið allt,Alls,10083
2021-11,Landið allt,Alls,10155
2021-12,Landið allt,Alls,10161
2022-01,Landið allt,Alls,10541
2022-02,Landið allt,Alls,10211
2022-03,Landið allt,Alls,9608
2022-04,Landið allt,Alls,9076
2022-05,Landið allt,Alls,7713
2022-06,Landið allt,Alls,7337
2022-07,Landið allt,Alls,7103
2022-08,Landið allt,Alls,6783
2022-09,Landið allt,Alls,6442
2022-10,Landið allt,Alls,6557
2022-11,Landið allt,Alls,6579
2022-12,Landið allt,Alls,6848
2023-01,Landið allt,Alls,7189
2023-02,Landið allt,Alls,7176
2023-03,Landið allt,Alls,6945
2023-04,Landið allt,Alls,6591
2023-05,Landið allt,Alls,6273
2023-06,Landið allt,Alls,6106
2023-07,Landið allt,Alls,6020
2023-08,Landið allt,Alls,5934
2023-09,Landið allt,Alls,6035
2023-10,Landið allt,Alls,6400
2023-11,Landið allt,Alls,6968
2023-12,Landið allt,Alls,7241
2024-01,Landið allt,Alls,7758
2024-02,Landið allt,Alls,7951
2024-03,Landið allt,Alls,7780
2024-04,Landið allt,Alls,7515
2024-05,Landið allt,Alls,7281
2024-06,Landið allt,Alls,6997
2024-07,Landið allt,Alls,7175
2024-08,Landið allt,Alls,7040
2024-09,Landið allt,Alls,7171
2024-10,Landið allt,Alls,7487
2024-11,Landið allt,Alls,8113
2024-12,Landið allt,Alls,8341
2025-01,Landið allt,Alls,9050
2025-02,Landið allt,Alls,9081
2025-03,Landið allt,Alls,8760
2025-04,Landið allt,Alls,8406
2025-05,Landið allt,Alls,7885
2025-06,Landið allt,Alls,7695
2025-07,Landið allt,Alls,7811
2025-08,Landið allt,Alls,7602
2025-09,Landið allt,Alls,7841
2025-10,Landið allt,Alls,8573
2025-11,Landið allt,Alls,9152
2025-12,Landið allt,Alls,9592
2026-01,Landið allt,Alls,10185
2026-02,Landið allt,Alls,10128
2026-03,Landið allt,Alls,10051
2000-02,Landið allt,18-29 ára,855
2000-03,Landið allt,18-29 ára,840
2000-04,Landið allt,18-29 ára,764
2000-05,Landið allt,18-29 ára,676
2000-06,Landið allt,18-29 ára,550
2000-07,Landið allt,18-29 ára,518
2000-08,Landið allt,18-29 ára,447
2000-09,Landið allt,18-29 ára,373
2000-10,Landið allt,18-29 ára,422
2000-11,Landið allt,18-29 ára,619
2000-12,Landið allt,18-29 ára,806
2001-01,Landið allt,18-29 ára,945
2001-02,Landið allt,18-29 ára,888
2001-03,Landið allt,18-29 ára,784
2001-04,Landið allt,18-29 ára,945
2001-05,Landið allt,18-29 ára,736
2001-06,Landið allt,18-29 ára,691
2001-07,Landið allt,18-29 ára,648
2001-08,Landið allt,18-29 ára,524
2001-09,Landið allt,18-29 ára,579
2001-10,Landið allt,18-29 ára,746
2001-11,Landið allt,18-29 ára,986
2001-12,Landið allt,18-29 ára,1129
2002-01,Landið allt,18-29 ára,1571
2002-02,Landið allt,18-29 ára,1656
2002-03,Landið allt,18-29 ára,1699
2002-04,Landið allt,18-29 ára,1637
2002-05,Landið allt,18-29 ára,1723
2002-06,Landið allt,18-29 ára,1596
2002-07,Landið allt,18-29 ára,1582
2002-08,Landið allt,18-29 ára,1317
2002-09,Landið allt,18-29 ára,1316
2002-10,Landið allt,18-29 ára,1604
2002-11,Landið allt,18-29 ára,1855
2002-12,Landið allt,18-29 ára,2033
2003-01,Landið allt,18-29 ára,2611
2003-02,Landið allt,18-29 ára,2760
2003-03,Landið allt,18-29 ára,2659
2003-04,Landið allt,18-29 ára,2520
2003-05,Landið allt,18-29 ára,2624
2003-06,Landið allt,18-29 ára,2291
2003-07,Landið allt,18-29 ára,2023
2003-08,Landið allt,18-29 ára,1690
2003-09,Landið allt,18-29 ára,1543
2003-10,Landið allt,18-29 ára,1671
2003-11,Landið allt,18-29 ára,1870
2003-12,Landið allt,18-29 ára,2017
2004-01,Landið allt,18-29 ára,2207
2004-02,Landið allt,18-29 ára,2218
2004-03,Landið allt,18-29 ára,2135
2004-04,Landið allt,18-29 ára,2048
2004-05,Landið allt,18-29 ára,2313
2004-06,Landið allt,18-29 ára,2128
2004-07,Landið allt,18-29 ára,2049
2004-08,Landið allt,18-29 ára,1723
2004-09,Landið allt,18-29 ára,1521
2004-10,Landið allt,18-29 ára,1507
2004-11,Landið allt,18-29 ára,1563
2004-12,Landið allt,18-29 ára,1706
2005-01,Landið allt,18-29 ára,1812
2005-02,Landið allt,18-29 ára,1717
2005-03,Landið allt,18-29 ára,1478
2005-04,Landið allt,18-29 ára,1310
2005-05,Landið allt,18-29 ára,1349
2005-06,Landið allt,18-29 ára,1253
2005-07,Landið allt,18-29 ára,1271
2005-08,Landið allt,18-29 ára,908
2005-09,Landið allt,18-29 ára,751
2005-10,Landið allt,18-29 ára,758
2005-11,Landið allt,18-29 ára,816
2005-12,Landið allt,18-29 ára,870
2006-01,Landið allt,18-29 ára,919
2006-02,Landið allt,18-29 ára,860
2006-03,Landið allt,18-29 ára,776
2006-04,Landið allt,18-29 ára,774
2006-05,Landið allt,18-29 ára,822
2006-06,Landið allt,18-29 ára,791
2006-07,Landið allt,18-29 ára,840
2006-08,Landið allt,18-29 ára,592
2006-09,Landið allt,18-29 ára,526
2006-10,Landið allt,18-29 ára,544
2006-11,Landið allt,18-29 ára,558
2006-12,Landið allt,18-29 ára,643
2007-01,Landið allt,18-29 ára,714
2007-02,Landið allt,18-29 ára,726
2007-03,Landið allt,18-29 ára,685
2007-04,Landið allt,18-29 ára,606
2007-05,Landið allt,18-29 ára,654
2007-06,Landið allt,18-29 ára,566
2007-07,Landið allt,18-29 ára,545
2007-08,Landið allt,18-29 ára,460
2007-09,Landið allt,18-29 ára,432
2007-10,Landið allt,18-29 ára,417
2007-11,Landið allt,18-29 ára,412
2007-12,Landið allt,18-29 ára,438
2008-01,Landið allt,18-29 ára,553
2008-02,Landið allt,18-29 ára,576
2008-03,Landið allt,18-29 ára,657
2008-04,Landið allt,18-29 ára,627
2008-05,Landið allt,18-29 ára,703
2008-06,Landið allt,18-29 ára,706
2008-07,Landið allt,18-29 ára,766
2008-08,Landið allt,18-29 ára,773
2008-09,Landið allt,18-29 ára,874
2008-10,Landið allt,18-29 ára,1490
2008-11,Landið allt,18-29 ára,2502
2008-12,Landið allt,18-29 ára,3602
2009-01,Landið allt,18-29 ára,4813
2009-02,Landið allt,18-29 ára,5754
2009-03,Landið allt,18-29 ára,6289
2009-04,Landið allt,18-29 ára,6148
2009-05,Landið allt,18-29 ára,6192
2009-06,Landið allt,18-29 ára,5967
2009-07,Landið allt,18-29 ára,5840
2009-08,Landið allt,18-29 ára,5183
2009-09,Landið allt,18-29 ára,4694
2009-10,Landið allt,18-29 ára,4902
2009-11,Landið allt,18-29 ára,5163
2009-12,Landið allt,18-29 ára,5216
2010-01,Landið allt,18-29 ára,5723
2010-02,Landið allt,18-29 ára,5807
2010-03,Landið allt,18-29 ára,5867
2010-04,Landið allt,18-29 ára,5692
2010-05,Landið allt,18-29 ára,5242
2010-06,Landið allt,18-29 ára,4815
2010-07,Landið allt,18-29 ára,4678
2010-08,Landið allt,18-29 ára,4148
2010-09,Landið allt,18-29 ára,4073
2010-10,Landið allt,18-29 ára,4362
2010-11,Landið allt,18-29 ára,4541
2010-12,Landið allt,18-29 ára,4633
2011-01,Landið allt,18-29 ára,5051
2011-02,Landið allt,18-29 ára,5120
2011-03,Landið allt,18-29 ára,5142
2011-04,Landið allt,18-29 ára,4807
2011-05,Landið allt,18-29 ára,4490
2011-06,Landið allt,18-29 ára,4080
2011-07,Landið allt,18-29 ára,3960
2011-08,Landið allt,18-29 ára,3820
2011-09,Landið allt,18-29 ára,3663
2011-10,Landið allt,18-29 ára,3831
2011-11,Landið allt,18-29 ára,4029
2011-12,Landið allt,18-29 ára,4057
2012-01,Landið allt,18-29 ára,3777
2012-02,Landið allt,18-29 ára,3895
2012-03,Landið allt,18-29 ára,3776
2012-04,Landið allt,18-29 ára,3527
2012-05,Landið allt,18-29 ára,3129
2012-06,Landið allt,18-29 ára,2714
2012-07,Landið allt,18-29 ára,2685
2012-08,Landið allt,18-29 ára,2489
2012-09,Landið allt,18-29 ára,2425
2012-10,Landið allt,18-29 ára,2594
2012-11,Landið allt,18-29 ára,2718
2012-12,Landið allt,18-29 ára,2878
2013-01,Landið allt,18-29 ára,3065
2013-02,Landið allt,18-29 ára,3113
2013-03,Landið allt,18-29 ára,3047
2013-04,Landið allt,18-29 ára,2867
2013-05,Landið allt,18-29 ára,2618
2013-06,Landið allt,18-29 ára,2356
2013-07,Landið allt,18-29 ára,2355
2013-08,Landið allt,18-29 ára,2187
2013-09,Landið allt,18-29 ára,2001
2013-10,Landið allt,18-29 ára,2164
2013-11,Landið allt,18-29 ára,2304
2013-12,Landið allt,18-29 ára,2395
2014-01,Landið allt,18-29 ára,2719
2014-02,Landið allt,18-29 ára,2658
2014-03,Landið allt,18-29 ára,2641
2014-04,Landið allt,18-29 ára,2524
2014-05,Landið allt,18-29 ára,2237
2014-06,Landið allt,18-29 ára,1991
2014-07,Landið allt,18-29 ára,1925
2014-08,Landið allt,18-29 ára,1784
2014-09,Landið allt,18-29 ára,1703
2014-10,Landið allt,18-29 ára,1801
2014-11,Landið allt,18-29 ára,1842
2014-12,Landið allt,18-29 ára,1915
2015-01,Landið allt,18-29 ára,2167
2015-02,Landið allt,18-29 ára,2173
2015-03,Landið allt,18-29 ára,2186
2015-04,Landið allt,18-29 ára,2062
2015-05,Landið allt,18-29 ára,1792
2015-06,Landið allt,18-29 ára,1646
2015-07,Landið allt,18-29 ára,1603
2015-08,Landið allt,18-29 ára,1463
2015-09,Landið allt,18-29 ára,1346
2015-10,Landið allt,18-29 ára,1392
2015-11,Landið allt,18-29 ára,1481
2015-12,Landið allt,18-29 ára,1517
2016-01,Landið allt,18-29 ára,1728
2016-02,Landið allt,18-29 ára,1671
2016-03,Landið allt,18-29 ára,1588
2016-04,Landið allt,18-29 ára,1467
2016-05,Landið allt,18-29 ára,1351
2016-06,Landið allt,18-29 ára,1234
2016-07,Landið allt,18-29 ára,1133
2016-08,Landið allt,18-29 ára,1058
2016-09,Landið allt,18-29 ára,994
2016-10,Landið allt,18-29 ára,1038
2016-11,Landið allt,18-29 ára,1113
2016-12,Landið allt,18-29 ára,1294
2017-01,Landið allt,18-29 ára,1667
2017-02,Landið allt,18-29 ára,1391
2017-03,Landið allt,18-29 ára,1340
2017-04,Landið allt,18-29 ára,1189
2017-05,Landið allt,18-29 ára,1125
2017-06,Landið allt,18-29 ára,1084
2017-07,Landið allt,18-29 ára,1076
2017-08,Landið allt,18-29 ára,1064
2017-09,Landið allt,18-29 ára,987
2017-10,Landið allt,18-29 ára,1050
2017-11,Landið allt,18-29 ára,1177
2017-12,Landið allt,18-29 ára,1192
2018-01,Landið allt,18-29 ára,1393
2018-02,Landið allt,18-29 ára,1387
2018-03,Landið allt,18-29 ára,1347
2018-04,Landið allt,18-29 ára,1315
2018-05,Landið allt,18-29 ára,1289
2018-06,Landið allt,18-29 ára,1282
2018-07,Landið allt,18-29 ára,1297
2018-08,Landið allt,18-29 ára,1310
2018-09,Landið allt,18-29 ára,1198
2018-10,Landið allt,18-29 ára,1346
2018-11,Landið allt,18-29 ára,1495
2018-12,Landið allt,18-29 ára,1540
2019-01,Landið allt,18-29 ára,1833
2019-02,Landið allt,18-29 ára,1949
2019-03,Landið allt,18-29 ára,2256
2019-04,Landið allt,18-29 ára,2328
2019-05,Landið allt,18-29 ára,2218
2019-06,Landið allt,18-29 ára,2199
2019-07,Landið allt,18-29 ára,2211
2019-08,Landið allt,18-29 ára,2137
2019-09,Landið allt,18-29 ára,2086
2019-10,Landið allt,18-29 ára,2344
2019-11,Landið allt,18-29 ára,2522
2019-12,Landið allt,18-29 ára,2555
2020-01,Landið allt,18-29 ára,2974
2020-02,Landið allt,18-29 ára,3000
2020-03,Landið allt,18-29 ára,4448
2020-04,Landið allt,18-29 ára,14160
2020-05,Landið allt,18-29 ára,9609
2020-06,Landið allt,18-29 ára,6708
2020-07,Landið allt,18-29 ára,5965
2020-08,Landið allt,18-29 ára,5874
2020-09,Landið allt,18-29 ára,6071
2020-10,Landið allt,18-29 ára,7157
2020-11,Landið allt,18-29 ára,7526
2020-12,Landið allt,18-29 ára,7451
2021-01,Landið allt,18-29 ára,7529
2021-02,Landið allt,18-29 ára,7232
2021-03,Landið allt,18-29 ára,7001
2021-04,Landið allt,18-29 ára,6697
2021-05,Landið allt,18-29 ára,5649
2021-06,Landið allt,18-29 ára,3834
2021-07,Landið allt,18-29 ára,3333
2021-08,Landið allt,18-29 ára,3056
2021-09,Landið allt,18-29 ára,2783
2021-10,Landið allt,18-29 ára,2712
2021-11,Landið allt,18-29 ára,2748
2021-12,Landið allt,18-29 ára,2755
2022-01,Landið allt,18-29 ára,2923
2022-02,Landið allt,18-29 ára,2803
2022-03,Landið allt,18-29 ára,2606
2022-04,Landið allt,18-29 ára,2433
2022-05,Landið allt,18-29 ára,1946
2022-06,Landið allt,18-29 ára,1810
2022-07,Landið allt,18-29 ára,1729
2022-08,Landið allt,18-29 ára,1665
2022-09,Landið allt,18-29 ára,1580
2022-10,Landið allt,18-29 ára,1640
2022-11,Landið allt,18-29 ára,1658
2022-12,Landið allt,18-29 ára,1754
2023-01,Landið allt,18-29 ára,1873
2023-02,Landið allt,18-29 ára,1914
2023-03,Landið allt,18-29 ára,1855
2023-04,Landið allt,18-29 ára,1731
2023-05,Landið allt,18-29 ára,1576
2023-06,Landið allt,18-29 ára,1552
2023-07,Landið allt,18-29 ára,1537
2023-08,Landið allt,18-29 ára,1520
2023-09,Landið allt,18-29 ára,1549
2023-10,Landið allt,18-29 ára,1699
2023-11,Landið allt,18-29 ára,1890
2023-12,Landið allt,18-29 ára,1949
2024-01,Landið allt,18-29 ára,2135
2024-02,Landið allt,18-29 ára,2227
2024-03,Landið allt,18-29 ára,2189
2024-04,Landið allt,18-29 ára,2074
2024-05,Landið allt,18-29 ára,1960
2024-06,Landið allt,18-29 ára,1817
2024-07,Landið allt,18-29 ára,1852
2024-08,Landið allt,18-29 ára,1846
2024-09,Landið allt,18-29 ára,1914
2024-10,Landið allt,18-29 ára,2033
2024-11,Landið allt,18-29 ára,2256
2024-12,Landið allt,18-29 ára,2274
2025-01,Landið allt,18-29 ára,2466
2025-02,Landið allt,18-29 ára,2436
2025-03,Landið allt,18-29 ára,2309
2025-04,Landið allt,18-29 ára,2183
2025-05,Landið allt,18-29 ára,2007
2025-06,Landið allt,18-29 ára,1913
2025-07,Landið allt,18-29 ára,1942
2025-08,Landið allt,18-29 ára,1902
2025-09,Landið allt,18-29 ára,2007
2025-10,Landið allt,18-29 ára,2267
2025-11,Landið allt,18-29 ára,2490
2025-12,Landið allt,18-29 ára,2546
2026-01,Landið allt,18-29 ára,2756
2026-02,Landið allt,18-29 ára,2728
2026-03,Landið allt,18-29 ára,2706
2000-02,Landið allt,30-39 ára,608
2000-03,Landið allt,30-39 ára,603
2000-04,Landið allt,30-39 ára,547
2000-05,Landið allt,30-39 ára,479
2000-06,Landið allt,30-39 ára,454
2000-07,Landið allt,30-39 ára,428
2000-08,Landið allt,30-39 ára,399
2000-09,Landið allt,30-39 ára,350
2000-10,Landið allt,30-39 ára,347
2000-11,Landið allt,30-39 ára,390
2000-12,Landið allt,30-39 ára,482
2001-01,Landið allt,30-39 ára,469
2001-02,Landið allt,30-39 ára,462
2001-03,Landið allt,30-39 ára,415
2001-04,Landið allt,30-39 ára,558
2001-05,Landið allt,30-39 ára,437
2001-06,Landið allt,30-39 ára,424
2001-07,Landið allt,30-39 ára,429
2001-08,Landið allt,30-39 ára,401
2001-09,Landið allt,30-39 ára,405
2001-10,Landið allt,30-39 ára,467
2001-11,Landið allt,30-39 ára,562
2001-12,Landið allt,30-39 ára,660
2002-01,Landið allt,30-39 ára,783
2002-02,Landið allt,30-39 ára,806
2002-03,Landið allt,30-39 ára,856
2002-04,Landið allt,30-39 ára,852
2002-05,Landið allt,30-39 ára,859
2002-06,Landið allt,30-39 ára,857
2002-07,Landið allt,30-39 ára,880
2002-08,Landið allt,30-39 ára,845
2002-09,Landið allt,30-39 ára,839
2002-10,Landið allt,30-39 ára,903
2002-11,Landið allt,30-39 ára,1006
2002-12,Landið allt,30-39 ára,1125
2003-01,Landið allt,30-39 ára,1230
2003-02,Landið allt,30-39 ára,1351
2003-03,Landið allt,30-39 ára,1308
2003-04,Landið allt,30-39 ára,1254
2003-05,Landið allt,30-39 ára,1252
2003-06,Landið allt,30-39 ára,1181
2003-07,Landið allt,30-39 ára,1157
2003-08,Landið allt,30-39 ára,1090
2003-09,Landið allt,30-39 ára,1004
2003-10,Landið allt,30-39 ára,1014
2003-11,Landið allt,30-39 ára,1094
2003-12,Landið allt,30-39 ára,1174
2004-01,Landið allt,30-39 ára,1238
2004-02,Landið allt,30-39 ára,1232
2004-03,Landið allt,30-39 ára,1220
2004-04,Landið allt,30-39 ára,1161
2004-05,Landið allt,30-39 ára,1187
2004-06,Landið allt,30-39 ára,1141
2004-07,Landið allt,30-39 ára,1140
2004-08,Landið allt,30-39 ára,1057
2004-09,Landið allt,30-39 ára,941
2004-10,Landið allt,30-39 ára,964
2004-11,Landið allt,30-39 ára,936
2004-12,Landið allt,30-39 ára,993
2005-01,Landið allt,30-39 ára,1020
2005-02,Landið allt,30-39 ára,947
2005-03,Landið allt,30-39 ára,856
2005-04,Landið allt,30-39 ára,813
2005-05,Landið allt,30-39 ára,808
2005-06,Landið allt,30-39 ára,741
2005-07,Landið allt,30-39 ára,756
2005-08,Landið allt,30-39 ára,588
2005-09,Landið allt,30-39 ára,499
2005-10,Landið allt,30-39 ára,469
2005-11,Landið allt,30-39 ára,494
2005-12,Landið allt,30-39 ára,500
2006-01,Landið allt,30-39 ára,525
2006-02,Landið allt,30-39 ára,514
2006-03,Landið allt,30-39 ára,478
2006-04,Landið allt,30-39 ára,448
2006-05,Landið allt,30-39 ára,479
2006-06,Landið allt,30-39 ára,506
2006-07,Landið allt,30-39 ára,522
2006-08,Landið allt,30-39 ára,393
2006-09,Landið allt,30-39 ára,361
2006-10,Landið allt,30-39 ára,355
2006-11,Landið allt,30-39 ára,354
2006-12,Landið allt,30-39 ára,405
2007-01,Landið allt,30-39 ára,392
2007-02,Landið allt,30-39 ára,419
2007-03,Landið allt,30-39 ára,392
2007-04,Landið allt,30-39 ára,374
2007-05,Landið allt,30-39 ára,394
