Menntun,Kyn,Starfsstétt,Ár,value
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2016,400
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2017,500
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2018,400
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2019,600
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2020,500
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2021,500
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2022,800
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2023,700
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2024,800
Tertiary (ISCED 5+6+7+8),Males and females,Agricultural and fishery workers,2025,900
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,1991,100
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,1992,200
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,1993,300
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,1994,200
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,1995,200
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,1996,200
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,1997,200
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,1998,200
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,1999,100
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2000,100
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2001,300
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2002,400
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2003,700
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2004,500
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2005,400
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2006,600
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2007,700
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2008,400
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2009,300
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2010,400
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2011,600
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2012,800
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2013,600
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2014,800
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2015,1000
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2016,1000
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2017,700
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2018,1000
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2019,1100
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2020,1100
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2021,1500
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2022,1700
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2023,1400
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2024,1300
Tertiary (ISCED 5+6+7+8),Males and females,Craft and related trades workers,2025,1500
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,1991,0
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,1992,0
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,1993,0
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,1994,100
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,1995,0
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,1996,100
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,1997,0
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,1998,0
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,1999,100
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2000,100
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2001,0
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2002,0
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2003,100
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2004,200
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2005,300
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2006,500
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2007,200
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2008,100
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2009,200
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2010,300
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2011,500
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2012,400
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2013,400
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2014,400
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2015,700
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2016,500
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2017,800
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2018,600
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2019,600
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2020,600
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2021,700
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2022,900
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2023,1000
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2024,900
Tertiary (ISCED 5+6+7+8),Males and females,Plant and machine operators,2025,800
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,1991,100
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,1992,0
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,1993,0
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,1994,0
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,1995,100
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,1996,100
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,1997,0
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,1998,200
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,1999,200
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2000,200
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2001,200
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2002,300
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2003,400
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2004,600
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2005,400
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2006,500
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2007,700
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2008,500
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2009,600
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2010,500
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2011,500
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2012,600
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2013,1100
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2014,700
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2015,900
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2016,1400
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2017,1100
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2018,1100
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2019,1200
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2020,1100
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2021,1200
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2022,1400
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2023,1900
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2024,2300
Tertiary (ISCED 5+6+7+8),Males and females,Elementary occupations,2025,2400
