Atvinnugreinahópur,Fjöldi starfsmanna,Breyta,Ár,value
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2013,9812
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2014,10662
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2015,13173
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2016,17155
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2017,17893
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2018,20688
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2019,18898
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2020,5000
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2021,14459
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2022,33930
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2023,37285
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12150 - Value added at factor cost,2024,643
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2008,-1962
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2009,1913
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2010,956
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2011,1824
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2012,2671
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2013,3298
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2014,3420
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2015,3546
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2016,3967
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2017,4195
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2018,4088
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2019,3136
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2020,-2906
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2021,2616
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2022,9969
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2023,11190
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,12170 - Gross operating surplus,2024,187
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2008,32196
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2009,42973
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2010,7014
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2011,8156
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2012,12189
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2013,12143
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2014,10576
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2015,13869
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2016,18434
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2017,17987
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2018,22650
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2019,25086
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2020,10560
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2021,17040
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2022,37683
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2023,49593
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13110 - Total purchases of goods and services,2024,461
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2008,3733
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2009,4160
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2010,2315
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2011,3048
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2012,3845
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2013,3609
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2014,3301
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2015,5773
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2016,10535
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2017,7683
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2018,10719
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2019,10984
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2020,3996
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2021,6673
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2022,19407
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2023,26804
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13120 - Purchases of goods and services for resale in the same condition as received,2024,21
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2008,15
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2009,0
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2010,-3
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2011,63
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2012,-9
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2013,10
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2014,37
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2015,7
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2016,45
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2017,10
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2018,-23
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2019,9
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2020,-65
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2021,30
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2022,123
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2023,-3
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13210 - Change in stocks of goods and services,2024,4
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2008,4270
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2009,5508
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2010,4931
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2011,5259
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2012,6442
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2013,6514
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2014,7242
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2015,9627
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2016,13188
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2017,13698
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2018,16600
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2019,15763
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2020,7906
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2021,11844
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2022,23961
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2023,26095
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13310 - Personnel costs,2024,456
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2008,3695
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2009,4731
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2010,4086
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2011,4385
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2012,5404
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2013,5474
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2014,6082
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2015,8084
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2016,11125
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2017,11524
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2018,13684
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2019,12901
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2020,6430
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2021,9393
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2022,19594
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2023,21419
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13320 - Wages and salaries,2024,379
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2008,575
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2009,778
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2010,845
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2011,874
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2012,1037
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2013,1039
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2014,1160
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2015,1543
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2016,2063
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2017,2174
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2018,2916
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2019,2862
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2020,1475
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2021,2450
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2022,4367
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2023,4676
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,13330 - Social security costs,2024,76
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2008,1386
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2009,1631
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2010,1370
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2011,1500
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2012,1721
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2013,1747
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2014,1755
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2015,2150
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2016,2982
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2017,2581
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2018,2929
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2019,2633
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2020,1453
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2021,1668
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2022,3218
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2023,3086
"Information sector (ÍSAT nr. 581, 59-60, 639)",50-99,16110 - Number of persons employed,2024,50
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2008,21
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2009,17
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2010,19
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2011,19
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2012,19
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2013,21
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2014,23
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2015,29
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2016,31
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2017,34
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2018,29
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2019,30
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2020,23
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2021,20
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2022,26
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2023,28
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,11110 - Number of enterprises,2024,2
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2008,113161
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2009,117172
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2010,148411
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2011,164427
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2012,190470
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2013,214207
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2014,229316
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2015,278909
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2016,319078
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2017,345177
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2018,368699
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2019,340179
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2020,121114
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2021,155980
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2022,348769
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2023,462186
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12110 - Turnover,2024,4896
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2008,109094
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2009,116423
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2010,135586
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2011,153658
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2012,177657
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2013,199832
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2014,213236
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2015,260780
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2016,298094
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2017,323475
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2018,286931
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2019,329423
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2020,114142
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2021,148720
"Information sector (ÍSAT nr. 581, 59-60, 639)",100+,12120 - Production value,2022,332645
