manudur,svaedi,kyn_eda_rikisfang,fjoldi
2000-02,Landið allt,Allir,2845
2000-03,Landið allt,Allir,2801
2000-04,Landið allt,Allir,2561
2000-05,Landið allt,Allir,2241
2000-06,Landið allt,Allir,2109
2000-07,Landið allt,Allir,1967
2000-08,Landið allt,Allir,1735
2000-09,Landið allt,Allir,1506
2000-10,Landið allt,Allir,1564
2000-11,Landið allt,Allir,1902
2000-12,Landið allt,Allir,2407
2001-01,Landið allt,Allir,2541
2001-02,Landið allt,Allir,2460
2001-03,Landið allt,Allir,2265
2001-04,Landið allt,Allir,2761
2001-05,Landið allt,Allir,2095
2001-06,Landið allt,Allir,2072
2001-07,Landið allt,Allir,1992
2001-08,Landið allt,Allir,1747
2001-09,Landið allt,Allir,1856
2001-10,Landið allt,Allir,2208
2001-11,Landið allt,Allir,2712
2001-12,Landið allt,Allir,3119
2002-01,Landið allt,Allir,3827
2002-02,Landið allt,Allir,3949
2002-03,Landið allt,Allir,4046
2002-04,Landið allt,Allir,3972
2002-05,Landið allt,Allir,3970
2002-06,Landið allt,Allir,3900
2002-07,Landið allt,Allir,3903
2002-08,Landið allt,Allir,3566
2002-09,Landið allt,Allir,3583
2002-10,Landið allt,Allir,4080
2002-11,Landið allt,Allir,4582
2002-12,Landið allt,Allir,5071
2003-01,Landið allt,Allir,5859
2003-02,Landið allt,Allir,6212
2003-03,Landið allt,Allir,6043
2003-04,Landið allt,Allir,5791
2003-05,Landið allt,Allir,5798
2003-06,Landið allt,Allir,5313
2003-07,Landið allt,Allir,4975
2003-08,Landið allt,Allir,4527
2003-09,Landið allt,Allir,4347
2003-10,Landið allt,Allir,4535
2003-11,Landið allt,Allir,4912
2003-12,Landið allt,Allir,5272
2004-01,Landið allt,Allir,5511
2004-02,Landið allt,Allir,5495
2004-03,Landið allt,Allir,5408
2004-04,Landið allt,Allir,5219
2004-05,Landið allt,Allir,5435
2004-06,Landið allt,Allir,5199
2004-07,Landið allt,Allir,5112
2004-08,Landið allt,Allir,4600
2004-09,Landið allt,Allir,4259
2004-10,Landið allt,Allir,4292
2004-11,Landið allt,Allir,4352
2004-12,Landið allt,Allir,4661
2005-01,Landið allt,Allir,4760
2005-02,Landið allt,Allir,4484
2005-03,Landið allt,Allir,4069
2005-04,Landið allt,Allir,3748
2005-05,Landið allt,Allir,3628
2005-06,Landið allt,Allir,3437
2005-07,Landið allt,Allir,3422
2005-08,Landið allt,Allir,2759
2005-09,Landið allt,Allir,2450
2005-10,Landið allt,Allir,2446
2005-11,Landið allt,Allir,2562
2005-12,Landið allt,Allir,2627
2006-01,Landið allt,Allir,2720
2006-02,Landið allt,Allir,2584
2006-03,Landið allt,Allir,2417
2006-04,Landið allt,Allir,2324
2006-05,Landið allt,Allir,2333
2006-06,Landið allt,Allir,2341
2006-07,Landið allt,Allir,2451
2006-08,Landið allt,Allir,1943
2006-09,Landið allt,Allir,1779
2006-10,Landið allt,Allir,1838
2006-11,Landið allt,Allir,1919
2006-12,Landið allt,Allir,2108
2007-01,Landið allt,Allir,2153
2007-02,Landið allt,Allir,2176
2007-03,Landið allt,Allir,2072
2007-04,Landið allt,Allir,1941
2007-05,Landið allt,Allir,1960
2007-06,Landið allt,Allir,1763
2007-07,Landið allt,Allir,1712
2007-08,Landið allt,Allir,1535
2007-09,Landið allt,Allir,1494
2007-10,Landið allt,Allir,1440
2007-11,Landið allt,Allir,1468
2007-12,Landið allt,Allir,1546
2008-01,Landið allt,Allir,1752
2008-02,Landið allt,Allir,1794
2008-03,Landið allt,Allir,1888
2008-04,Landið allt,Allir,1853
2008-05,Landið allt,Allir,1970
2008-06,Landið allt,Allir,2056
2008-07,Landið allt,Allir,2246
2008-08,Landið allt,Allir,2264
2008-09,Landið allt,Allir,2514
2008-10,Landið allt,Allir,3958
2008-11,Landið allt,Allir,6340
2008-12,Landið allt,Allir,8970
2009-01,Landið allt,Allir,12390
2009-02,Landið allt,Allir,15469
2009-03,Landið allt,Allir,16809
2009-04,Landið allt,Allir,16740
2009-05,Landið allt,Allir,16378
2009-06,Landið allt,Allir,15541
2009-07,Landið allt,Allir,15209
2009-08,Landið allt,Allir,14362
2009-09,Landið allt,Allir,13738
2009-10,Landið allt,Allir,14360
2009-11,Landið allt,Allir,15008
2009-12,Landið allt,Allir,15317
2010-01,Landið allt,Allir,16373
2010-02,Landið allt,Allir,16566
2010-03,Landið allt,Allir,16475
2010-04,Landið allt,Allir,15926
2010-05,Landið allt,Allir,14860
2010-06,Landið allt,Allir,13922
2010-07,Landið allt,Allir,13624
2010-08,Landið allt,Allir,12709
2010-09,Landið allt,Allir,12645
2010-10,Landið allt,Allir,13273
2010-11,Landið allt,Allir,13614
2010-12,Landið allt,Allir,13967
2011-01,Landið allt,Allir,14684
2011-02,Landið allt,Allir,14868
2011-03,Landið allt,Allir,14860
2011-04,Landið allt,Allir,14096
2011-05,Landið allt,Allir,13292
2011-06,Landið allt,Allir,12421
2011-07,Landið allt,Allir,12249
2011-08,Landið allt,Allir,11928
2011-09,Landið allt,Allir,11482
2011-10,Landið allt,Allir,11841
2011-11,Landið allt,Allir,12350
2011-12,Landið allt,Allir,12673
2012-01,Landið allt,Allir,12075
2012-02,Landið allt,Allir,12124
2012-03,Landið allt,Allir,11812
2012-04,Landið allt,Allir,10986
2012-05,Landið allt,Allir,9849
2012-06,Landið allt,Allir,8813
2012-07,Landið allt,Allir,8692
2012-08,Landið allt,Allir,8343
2012-09,Landið allt,Allir,8185
2012-10,Landið allt,Allir,8589
2012-11,Landið allt,Allir,9057
2012-12,Landið allt,Allir,9487
2013-01,Landið allt,Allir,9289
2013-02,Landið allt,Allir,9166
2013-03,Landið allt,Allir,8888
2013-04,Landið allt,Allir,8343
2013-05,Landið allt,Allir,7837
2013-06,Landið allt,Allir,7271
2013-07,Landið allt,Allir,7284
2013-08,Landið allt,Allir,6958
2013-09,Landið allt,Allir,6480
2013-10,Landið allt,Allir,6765
2013-11,Landið allt,Allir,7076
2013-12,Landið allt,Allir,7364
2014-01,Landið allt,Allir,7846
2014-02,Landið allt,Allir,7688
2014-03,Landið allt,Allir,7583
2014-04,Landið allt,Allir,7205
2014-05,Landið allt,Allir,6591
2014-06,Landið allt,Allir,6053
2014-07,Landið allt,Allir,5975
2014-08,Landið allt,Allir,5635
2014-09,Landið allt,Allir,5481
2014-10,Landið allt,Allir,5740
2014-11,Landið allt,Allir,5838
2014-12,Landið allt,Allir,6057
2015-01,Landið allt,Allir,6306
2015-02,Landið allt,Allir,6274
2015-03,Landið allt,Allir,6251
2015-04,Landið allt,Allir,6021
2015-05,Landið allt,Allir,5438
2015-06,Landið allt,Allir,5103
2015-07,Landið allt,Allir,5013
2015-08,Landið allt,Allir,4731
2015-09,Landið allt,Allir,4487
2015-10,Landið allt,Allir,4675
2015-11,Landið allt,Allir,4858
2015-12,Landið allt,Allir,4945
2016-01,Landið allt,Allir,5261
2016-02,Landið allt,Allir,5083
2016-03,Landið allt,Allir,4893
2016-04,Landið allt,Allir,4601
2016-05,Landið allt,Allir,4272
2016-06,Landið allt,Allir,4092
2016-07,Landið allt,Allir,3937
2016-08,Landið allt,Allir,3743
2016-09,Landið allt,Allir,3580
2016-10,Landið allt,Allir,3683
2016-11,Landið allt,Allir,3946
2016-12,Landið allt,Allir,4791
2017-01,Landið allt,Allir,5808
2017-02,Landið allt,Allir,4587
2017-03,Landið allt,Allir,4430
2017-04,Landið allt,Allir,4073
2017-05,Landið allt,Allir,3856
2017-06,Landið allt,Allir,3813
2017-07,Landið allt,Allir,3824
2017-08,Landið allt,Allir,3786
2017-09,Landið allt,Allir,3655
2017-10,Landið allt,Allir,3839
2017-11,Landið allt,Allir,4145
2017-12,Landið allt,Allir,4238
2018-01,Landið allt,Allir,4668
2018-02,Landið allt,Allir,4653
2018-03,Landið allt,Allir,4601
2018-04,Landið allt,Allir,4471
2018-05,Landið allt,Allir,4456
2018-06,Landið allt,Allir,4400
2018-07,Landið allt,Allir,4509
2018-08,Landið allt,Allir,4528
2018-09,Landið allt,Allir,4367
2018-10,Landið allt,Allir,4685
2018-11,Landið allt,Allir,5077
2018-12,Landið allt,Allir,5299
2019-01,Landið allt,Allir,5965
2019-02,Landið allt,Allir,6157
2019-03,Landið allt,Allir,6932
2019-04,Landið allt,Allir,7258
2019-05,Landið allt,Allir,7192
2019-06,Landið allt,Allir,7198
2019-07,Landið allt,Allir,7285
2019-08,Landið allt,Allir,7181
2019-09,Landið allt,Allir,7101
2019-10,Landið allt,Allir,7700
2019-11,Landið allt,Allir,8279
2019-12,Landið allt,Allir,8605
2020-01,Landið allt,Allir,9618
2020-02,Landið allt,Allir,9766
2020-03,Landið allt,Allir,14221
2020-04,Landið allt,Allir,49160
2020-05,Landið allt,Allir,33205
2020-06,Landið allt,Allir,22913
2020-07,Landið allt,Allir,20915
2020-08,Landið allt,Allir,21269
2020-09,Landið allt,Allir,21749
2020-10,Landið allt,Allir,25008
2020-11,Landið allt,Allir,26352
2020-12,Landið allt,Allir,26473
2021-01,Landið allt,Allir,26401
2021-02,Landið allt,Allir,25678
2021-03,Landið allt,Allir,25203
2021-04,Landið allt,Allir,24270
2021-05,Landið allt,Allir,21055
2021-06,Landið allt,Allir,14316
2021-07,Landið allt,Allir,12537
2021-08,Landið allt,Allir,11499
2021-09,Landið allt,Allir,10428
2021-10,Landið allt,Allir,10083
2021-11,Landið allt,Allir,10155
2021-12,Landið allt,Allir,10161
2022-01,Landið allt,Allir,10541
2022-02,Landið allt,Allir,10211
2022-03,Landið allt,Allir,9608
2022-04,Landið allt,Allir,9076
2022-05,Landið allt,Allir,7713
2022-06,Landið allt,Allir,7337
2022-07,Landið allt,Allir,7103
2022-08,Landið allt,Allir,6783
2022-09,Landið allt,Allir,6442
2022-10,Landið allt,Allir,6557
2022-11,Landið allt,Allir,6579
2022-12,Landið allt,Allir,6848
2023-01,Landið allt,Allir,7189
2023-02,Landið allt,Allir,7176
2023-03,Landið allt,Allir,6945
2023-04,Landið allt,Allir,6591
2023-05,Landið allt,Allir,6273
2023-06,Landið allt,Allir,6106
2023-07,Landið allt,Allir,6020
2023-08,Landið allt,Allir,5934
2023-09,Landið allt,Allir,6035
2023-10,Landið allt,Allir,6400
2023-11,Landið allt,Allir,6968
2023-12,Landið allt,Allir,7241
2024-01,Landið allt,Allir,7758
2024-02,Landið allt,Allir,7951
2024-03,Landið allt,Allir,7780
2024-04,Landið allt,Allir,7515
2024-05,Landið allt,Allir,7281
2024-06,Landið allt,Allir,6997
2024-07,Landið allt,Allir,7175
2024-08,Landið allt,Allir,7040
2024-09,Landið allt,Allir,7171
2024-10,Landið allt,Allir,7487
2024-11,Landið allt,Allir,8113
2024-12,Landið allt,Allir,8341
2025-01,Landið allt,Allir,9050
2025-02,Landið allt,Allir,9081
2025-03,Landið allt,Allir,8760
2025-04,Landið allt,Allir,8406
2025-05,Landið allt,Allir,7885
2025-06,Landið allt,Allir,7695
2025-07,Landið allt,Allir,7811
2025-08,Landið allt,Allir,7602
2025-09,Landið allt,Allir,7841
2025-10,Landið allt,Allir,8573
2025-11,Landið allt,Allir,9152
2025-12,Landið allt,Allir,9592
2026-01,Landið allt,Allir,10185
2026-02,Landið allt,Allir,10128
2026-03,Landið allt,Allir,10051
2000-02,Landið allt,Karlar,1144
2000-03,Landið allt,Karlar,1107
2000-04,Landið allt,Karlar,990
2000-05,Landið allt,Karlar,788
2000-06,Landið allt,Karlar,652
2000-07,Landið allt,Karlar,590
2000-08,Landið allt,Karlar,557
2000-09,Landið allt,Karlar,500
2000-10,Landið allt,Karlar,541
2000-11,Landið allt,Karlar,760
2000-12,Landið allt,Karlar,970
2001-01,Landið allt,Karlar,1043
2001-02,Landið allt,Karlar,989
2001-03,Landið allt,Karlar,887
2001-04,Landið allt,Karlar,1041
2001-05,Landið allt,Karlar,773
2001-06,Landið allt,Karlar,679
2001-07,Landið allt,Karlar,660
2001-08,Landið allt,Karlar,611
2001-09,Landið allt,Karlar,719
2001-10,Landið allt,Karlar,914
2001-11,Landið allt,Karlar,1221
2001-12,Landið allt,Karlar,1483
2002-01,Landið allt,Karlar,1910
2002-02,Landið allt,Karlar,1967
2002-03,Landið allt,Karlar,1998
2002-04,Landið allt,Karlar,1885
2002-05,Landið allt,Karlar,1839
2002-06,Landið allt,Karlar,1784
2002-07,Landið allt,Karlar,1662
2002-08,Landið allt,Karlar,1593
2002-09,Landið allt,Karlar,1687
2002-10,Landið allt,Karlar,1973
2002-11,Landið allt,Karlar,2291
2002-12,Landið allt,Karlar,2626
2003-01,Landið allt,Karlar,3145
2003-02,Landið allt,Karlar,3327
2003-03,Landið allt,Karlar,3175
2003-04,Landið allt,Karlar,2992
2003-05,Landið allt,Karlar,2771
2003-06,Landið allt,Karlar,2381
2003-07,Landið allt,Karlar,2128
2003-08,Landið allt,Karlar,2005
2003-09,Landið allt,Karlar,1980
2003-10,Landið allt,Karlar,2150
2003-11,Landið allt,Karlar,2375
2003-12,Landið allt,Karlar,2656
2004-01,Landið allt,Karlar,2794
2004-02,Landið allt,Karlar,2745
2004-03,Landið allt,Karlar,2644
2004-04,Landið allt,Karlar,2456
2004-05,Landið allt,Karlar,2414
2004-06,Landið allt,Karlar,2227
2004-07,Landið allt,Karlar,2128
2004-08,Landið allt,Karlar,1944
2004-09,Landið allt,Karlar,1875
2004-10,Landið allt,Karlar,1906
2004-11,Landið allt,Karlar,1959
2004-12,Landið allt,Karlar,2152
2005-01,Landið allt,Karlar,2214
2005-02,Landið allt,Karlar,2039
2005-03,Landið allt,Karlar,1800
2005-04,Landið allt,Karlar,1578
2005-05,Landið allt,Karlar,1390
2005-06,Landið allt,Karlar,1234
2005-07,Landið allt,Karlar,1162
2005-08,Landið allt,Karlar,1053
2005-09,Landið allt,Karlar,994
2005-10,Landið allt,Karlar,995
2005-11,Landið allt,Karlar,1094
2005-12,Landið allt,Karlar,1133
2006-01,Landið allt,Karlar,1153
2006-02,Landið allt,Karlar,1095
2006-03,Landið allt,Karlar,1005
2006-04,Landið allt,Karlar,953
2006-05,Landið allt,Karlar,863
2006-06,Landið allt,Karlar,858
2006-07,Landið allt,Karlar,938
2006-08,Landið allt,Karlar,771
2006-09,Landið allt,Karlar,729
2006-10,Landið allt,Karlar,810
2006-11,Landið allt,Karlar,862
2006-12,Landið allt,Karlar,954
2007-01,Landið allt,Karlar,946
2007-02,Landið allt,Karlar,980
2007-03,Landið allt,Karlar,928
2007-04,Landið allt,Karlar,846
2007-05,Landið allt,Karlar,797
2007-06,Landið allt,Karlar,677
2007-07,Landið allt,Karlar,661
2007-08,Landið allt,Karlar,620
2007-09,Landið allt,Karlar,605
2007-10,Landið allt,Karlar,590
2007-11,Landið allt,Karlar,625
2007-12,Landið allt,Karlar,672
2008-01,Landið allt,Karlar,779
2008-02,Landið allt,Karlar,789
2008-03,Landið allt,Karlar,889
2008-04,Landið allt,Karlar,847
2008-05,Landið allt,Karlar,865
2008-06,Landið allt,Karlar,884
2008-07,Landið allt,Karlar,997
2008-08,Landið allt,Karlar,1049
2008-09,Landið allt,Karlar,1222
2008-10,Landið allt,Karlar,2175
2008-11,Landið allt,Karlar,3723
2008-12,Landið allt,Karlar,5643
2009-01,Landið allt,Karlar,7790
2009-02,Landið allt,Karlar,9836
2009-03,Landið allt,Karlar,10697
2009-04,Landið allt,Karlar,10510
2009-05,Landið allt,Karlar,10002
2009-06,Landið allt,Karlar,9007
2009-07,Landið allt,Karlar,8587
2009-08,Landið allt,Karlar,8119
2009-09,Landið allt,Karlar,7924
2009-10,Landið allt,Karlar,8295
2009-11,Landið allt,Karlar,8752
2009-12,Landið allt,Karlar,9057
2010-01,Landið allt,Karlar,9734
2010-02,Landið allt,Karlar,9920
2010-03,Landið allt,Karlar,9791
2010-04,Landið allt,Karlar,9290
2010-05,Landið allt,Karlar,8374
2010-06,Landið allt,Karlar,7562
2010-07,Landið allt,Karlar,7271
2010-08,Landið allt,Karlar,6852
2010-09,Landið allt,Karlar,6927
2010-10,Landið allt,Karlar,7421
2010-11,Landið allt,Karlar,7746
2010-12,Landið allt,Karlar,8061
2011-01,Landið allt,Karlar,8459
2011-02,Landið allt,Karlar,8541
2011-03,Landið allt,Karlar,8479
2011-04,Landið allt,Karlar,7892
2011-05,Landið allt,Karlar,7175
2011-06,Landið allt,Karlar,6523
2011-07,Landið allt,Karlar,6274
2011-08,Landið allt,Karlar,6133
2011-09,Landið allt,Karlar,5860
2011-10,Landið allt,Karlar,6091
2011-11,Landið allt,Karlar,6467
2011-12,Landið allt,Karlar,6757
2012-01,Landið allt,Karlar,6719
2012-02,Landið allt,Karlar,6733
2012-03,Landið allt,Karlar,6399
2012-04,Landið allt,Karlar,5764
2012-05,Landið allt,Karlar,4920
2012-06,Landið allt,Karlar,4197
2012-07,Landið allt,Karlar,4023
2012-08,Landið allt,Karlar,3959
2012-09,Landið allt,Karlar,3988
2012-10,Landið allt,Karlar,4255
2012-11,Landið allt,Karlar,4616
2012-12,Landið allt,Karlar,4870
2013-01,Landið allt,Karlar,4697
2013-02,Landið allt,Karlar,4634
2013-03,Landið allt,Karlar,4454
2013-04,Landið allt,Karlar,4029
2013-05,Landið allt,Karlar,3611
2013-06,Landið allt,Karlar,3225
2013-07,Landið allt,Karlar,3118
2013-08,Landið allt,Karlar,3016
2013-09,Landið allt,Karlar,2889
2013-10,Landið allt,Karlar,3080
2013-11,Landið allt,Karlar,3340
2013-12,Landið allt,Karlar,3577
2014-01,Landið allt,Karlar,3839
2014-02,Landið allt,Karlar,3723
2014-03,Landið allt,Karlar,3673
2014-04,Landið allt,Karlar,3390
2014-05,Landið allt,Karlar,2901
2014-06,Landið allt,Karlar,2591
2014-07,Landið allt,Karlar,2511
2014-08,Landið allt,Karlar,2416
2014-09,Landið allt,Karlar,2394
2014-10,Landið allt,Karlar,2572
2014-11,Landið allt,Karlar,2705
2014-12,Landið allt,Karlar,2883
2015-01,Landið allt,Karlar,3027
2015-02,Landið allt,Karlar,2965
2015-03,Landið allt,Karlar,2952
2015-04,Landið allt,Karlar,2773
2015-05,Landið allt,Karlar,2408
2015-06,Landið allt,Karlar,2159
2015-07,Landið allt,Karlar,2066
2015-08,Landið allt,Karlar,1987
2015-09,Landið allt,Karlar,1939
2015-10,Landið allt,Karlar,2070
2015-11,Landið allt,Karlar,2233
2015-12,Landið allt,Karlar,2310
2016-01,Landið allt,Karlar,2481
2016-02,Landið allt,Karlar,2402
2016-03,Landið allt,Karlar,2307
2016-04,Landið allt,Karlar,2066
2016-05,Landið allt,Karlar,1826
2016-06,Landið allt,Karlar,1713
2016-07,Landið allt,Karlar,1598
2016-08,Landið allt,Karlar,1554
2016-09,Landið allt,Karlar,1529
2016-10,Landið allt,Karlar,1625
2016-11,Landið allt,Karlar,1809
2016-12,Landið allt,Karlar,2211
2017-01,Landið allt,Karlar,2851
2017-02,Landið allt,Karlar,2263
2017-03,Landið allt,Karlar,2156
2017-04,Landið allt,Karlar,1966
2017-05,Landið allt,Karlar,1783
2017-06,Landið allt,Karlar,1727
2017-07,Landið allt,Karlar,1673
2017-08,Landið allt,Karlar,1723
2017-09,Landið allt,Karlar,1738
2017-10,Landið allt,Karlar,1843
2017-11,Landið allt,Karlar,2083
2017-12,Landið allt,Karlar,2162
2018-01,Landið allt,Karlar,2450
2018-02,Landið allt,Karlar,2462
2018-03,Landið allt,Karlar,2423
2018-04,Landið allt,Karlar,2315
2018-05,Landið allt,Karlar,2259
2018-06,Landið allt,Karlar,2185
2018-07,Landið allt,Karlar,2208
2018-08,Landið allt,Karlar,2296
2018-09,Landið allt,Karlar,2264
2018-10,Landið allt,Karlar,2457
2018-11,Landið allt,Karlar,2685
2018-12,Landið allt,Karlar,2793
2019-01,Landið allt,Karlar,3212
2019-02,Landið allt,Karlar,3304
2019-03,Landið allt,Karlar,3758
2019-04,Landið allt,Karlar,3917
2019-05,Landið allt,Karlar,3854
2019-06,Landið allt,Karlar,3786
2019-07,Landið allt,Karlar,3759
2019-08,Landið allt,Karlar,3756
2019-09,Landið allt,Karlar,3827
2019-10,Landið allt,Karlar,4216
2019-11,Landið allt,Karlar,4621
2019-12,Landið allt,Karlar,4860
2020-01,Landið allt,Karlar,5486
2020-02,Landið allt,Karlar,5566
2020-03,Landið allt,Karlar,7956
2020-04,Landið allt,Karlar,27915
2020-05,Landið allt,Karlar,18773
2020-06,Landið allt,Karlar,12726
2020-07,Landið allt,Karlar,11378
2020-08,Landið allt,Karlar,11671
2020-09,Landið allt,Karlar,11880
2020-10,Landið allt,Karlar,13501
2020-11,Landið allt,Karlar,14410
2020-12,Landið allt,Karlar,14638
2021-01,Landið allt,Karlar,14654
2021-02,Landið allt,Karlar,14240
2021-03,Landið allt,Karlar,13867
2021-04,Landið allt,Karlar,13222
2021-05,Landið allt,Karlar,11340
2021-06,Landið allt,Karlar,7525
2021-07,Landið allt,Karlar,6559
2021-08,Landið allt,Karlar,6158
2021-09,Landið allt,Karlar,5726
2021-10,Landið allt,Karlar,5585
2021-11,Landið allt,Karlar,5719
2021-12,Landið allt,Karlar,5756
2022-01,Landið allt,Karlar,6018
2022-02,Landið allt,Karlar,5791
2022-03,Landið allt,Karlar,5416
2022-04,Landið allt,Karlar,5051
2022-05,Landið allt,Karlar,4205
2022-06,Landið allt,Karlar,3917
2022-07,Landið allt,Karlar,3774
2022-08,Landið allt,Karlar,3633
2022-09,Landið allt,Karlar,3456
2022-10,Landið allt,Karlar,3547
2022-11,Landið allt,Karlar,3579
2022-12,Landið allt,Karlar,3784
2023-01,Landið allt,Karlar,3989
2023-02,Landið allt,Karlar,3999
2023-03,Landið allt,Karlar,3846
2023-04,Landið allt,Karlar,3574
2023-05,Landið allt,Karlar,3392
2023-06,Landið allt,Karlar,3277
2023-07,Landið allt,Karlar,3216
2023-08,Landið allt,Karlar,3191
2023-09,Landið allt,Karlar,3293
2023-10,Landið allt,Karlar,3553
2023-11,Landið allt,Karlar,3941
2023-12,Landið allt,Karlar,4151
2024-01,Landið allt,Karlar,4431
2024-02,Landið allt,Karlar,4517
2024-03,Landið allt,Karlar,4410
2024-04,Landið allt,Karlar,4191
2024-05,Landið allt,Karlar,4066
2024-06,Landið allt,Karlar,3846
2024-07,Landið allt,Karlar,3930
2024-08,Landið allt,Karlar,3913
2024-09,Landið allt,Karlar,3982
2024-10,Landið allt,Karlar,4185
2024-11,Landið allt,Karlar,4549
2024-12,Landið allt,Karlar,4787
2025-01,Landið allt,Karlar,5211
2025-02,Landið allt,Karlar,5272
2025-03,Landið allt,Karlar,5115
2025-04,Landið allt,Karlar,4916
2025-05,Landið allt,Karlar,4519
2025-06,Landið allt,Karlar,4400
2025-07,Landið allt,Karlar,4445
2025-08,Landið allt,Karlar,4338
2025-09,Landið allt,Karlar,4482
2025-10,Landið allt,Karlar,4952
2025-11,Landið allt,Karlar,5328
2025-12,Landið allt,Karlar,5741
2026-01,Landið allt,Karlar,6076
2026-02,Landið allt,Karlar,5993
2026-03,Landið allt,Karlar,5980
2000-02,Landið allt,Konur,1701
2000-03,Landið allt,Konur,1694
2000-04,Landið allt,Konur,1571
2000-05,Landið allt,Konur,1453
2000-06,Landið allt,Konur,1457
2000-07,Landið allt,Konur,1377
2000-08,Landið allt,Konur,1178
2000-09,Landið allt,Konur,1006
2000-10,Landið allt,Konur,1023
2000-11,Landið allt,Konur,1142
2000-12,Landið allt,Konur,1437
2001-01,Landið allt,Konur,1498
2001-02,Landið allt,Konur,1471
2001-03,Landið allt,Konur,1378
2001-04,Landið allt,Konur,1720
2001-05,Landið allt,Konur,1322
2001-06,Landið allt,Konur,1393
2001-07,Landið allt,Konur,1332
2001-08,Landið allt,Konur,1136
2001-09,Landið allt,Konur,1137
2001-10,Landið allt,Konur,1294
2001-11,Landið allt,Konur,1491
2001-12,Landið allt,Konur,1636
2002-01,Landið allt,Konur,1917
2002-02,Landið allt,Konur,1982
2002-03,Landið allt,Konur,2048
2002-04,Landið allt,Konur,2087
2002-05,Landið allt,Konur,2131
2002-06,Landið allt,Konur,2116
2002-07,Landið allt,Konur,2241
2002-08,Landið allt,Konur,1973
2002-09,Landið allt,Konur,1896
2002-10,Landið allt,Konur,2107
2002-11,Landið allt,Konur,2291
2002-12,Landið allt,Konur,2445
2003-01,Landið allt,Konur,2714
2003-02,Landið allt,Konur,2885
2003-03,Landið allt,Konur,2868
2003-04,Landið allt,Konur,2799
2003-05,Landið allt,Konur,3027
2003-06,Landið allt,Konur,2932
2003-07,Landið allt,Konur,2847
2003-08,Landið allt,Konur,2522
2003-09,Landið allt,Konur,2367
2003-10,Landið allt,Konur,2385
2003-11,Landið allt,Konur,2537
2003-12,Landið allt,Konur,2616
2004-01,Landið allt,Konur,2717
2004-02,Landið allt,Konur,2750
2004-03,Landið allt,Konur,2764
2004-04,Landið allt,Konur,2763
2004-05,Landið allt,Konur,3021
2004-06,Landið allt,Konur,2972
2004-07,Landið allt,Konur,2984
2004-08,Landið allt,Konur,2656
2004-09,Landið allt,Konur,2384
2004-10,Landið allt,Konur,2386
2004-11,Landið allt,Konur,2393
2004-12,Landið allt,Konur,2509
2005-01,Landið allt,Konur,2546
2005-02,Landið allt,Konur,2445
2005-03,Landið allt,Konur,2269
2005-04,Landið allt,Konur,2170
2005-05,Landið allt,Konur,2238
2005-06,Landið allt,Konur,2203
2005-07,Landið allt,Konur,2260
2005-08,Landið allt,Konur,1706
2005-09,Landið allt,Konur,1456
2005-10,Landið allt,Konur,1451
2005-11,Landið allt,Konur,1468
2005-12,Landið allt,Konur,1494
2006-01,Landið allt,Konur,1567
2006-02,Landið allt,Konur,1489
2006-03,Landið allt,Konur,1412
2006-04,Landið allt,Konur,1371
2006-05,Landið allt,Konur,1470
2006-06,Landið allt,Konur,1483
2006-07,Landið allt,Konur,1513
2006-08,Landið allt,Konur,1172
2006-09,Landið allt,Konur,1050
2006-10,Landið allt,Konur,1028
2006-11,Landið allt,Konur,1057
2006-12,Landið allt,Konur,1154
2007-01,Landið allt,Konur,1207
2007-02,Landið allt,Konur,1196
2007-03,Landið allt,Konur,1144
2007-04,Landið allt,Konur,1095
2007-05,Landið allt,Konur,1163
2007-06,Landið allt,Konur,1086
2007-07,Landið allt,Konur,1051
2007-08,Landið allt,Konur,915
2007-09,Landið allt,Konur,889
2007-10,Landið allt,Konur,850
2007-11,Landið allt,Konur,843
2007-12,Landið allt,Konur,874
2008-01,Landið allt,Konur,973
2008-02,Landið allt,Konur,1005
2008-03,Landið allt,Konur,999
2008-04,Landið allt,Konur,1006
2008-05,Landið allt,Konur,1105
2008-06,Landið allt,Konur,1172
2008-07,Landið allt,Konur,1249
2008-08,Landið allt,Konur,1215
2008-09,Landið allt,Konur,1292
2008-10,Landið allt,Konur,1783
2008-11,Landið allt,Konur,2617
2008-12,Landið allt,Konur,3327
2009-01,Landið allt,Konur,4600
2009-02,Landið allt,Konur,5633
2009-03,Landið allt,Konur,6112
2009-04,Landið allt,Konur,6230
2009-05,Landið allt,Konur,6376
2009-06,Landið allt,Konur,6534
2009-07,Landið allt,Konur,6622
2009-08,Landið allt,Konur,6243
2009-09,Landið allt,Konur,5814
2009-10,Landið allt,Konur,6065
2009-11,Landið allt,Konur,6256
2009-12,Landið allt,Konur,6260
2010-01,Landið allt,Konur,6639
2010-02,Landið allt,Konur,6646
2010-03,Landið allt,Konur,6684
2010-04,Landið allt,Konur,6636
2010-05,Landið allt,Konur,6486
2010-06,Landið allt,Konur,6360
2010-07,Landið allt,Konur,6353
2010-08,Landið allt,Konur,5857
2010-09,Landið allt,Konur,5718
2010-10,Landið allt,Konur,5852
2010-11,Landið allt,Konur,5868
2010-12,Landið allt,Konur,5906
2011-01,Landið allt,Konur,6225
2011-02,Landið allt,Konur,6327
