Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,"A - Agriculture, forestry and fishing",2009,Number (main and second job),9300
Total,"A - Agriculture, forestry and fishing",2009,95% Conf.Int,800
Total,"A - Agriculture, forestry and fishing",2010,Number (main and second job),10400
Total,"A - Agriculture, forestry and fishing",2010,95% Conf.Int,900
Total,"A - Agriculture, forestry and fishing",2011,Number (main and second job),10600
Total,"A - Agriculture, forestry and fishing",2011,95% Conf.Int,900
Total,"A - Agriculture, forestry and fishing",2012,Number (main and second job),10300
Total,"A - Agriculture, forestry and fishing",2012,95% Conf.Int,900
Total,"A - Agriculture, forestry and fishing",2013,Number (main and second job),8700
Total,"A - Agriculture, forestry and fishing",2013,95% Conf.Int,800
Total,"A - Agriculture, forestry and fishing",2014,Number (main and second job),8800
Total,"A - Agriculture, forestry and fishing",2014,95% Conf.Int,800
Total,"A - Agriculture, forestry and fishing",2015,Number (main and second job),8600
Total,"A - Agriculture, forestry and fishing",2015,95% Conf.Int,800
Total,"A - Agriculture, forestry and fishing",2016,Number (main and second job),8400
Total,"A - Agriculture, forestry and fishing",2016,95% Conf.Int,900
Total,"A - Agriculture, forestry and fishing",2017,Number (main and second job),8400
Total,"A - Agriculture, forestry and fishing",2017,95% Conf.Int,900
Total,"A - Agriculture, forestry and fishing",2018,Number (main and second job),8700
Total,"A - Agriculture, forestry and fishing",2018,95% Conf.Int,900
Total,"A - Agriculture, forestry and fishing",2019,Number (main and second job),8500
Total,"A - Agriculture, forestry and fishing",2019,95% Conf.Int,900
Total,"A - Agriculture, forestry and fishing",2020,Number (main and second job),8100
Total,"A - Agriculture, forestry and fishing",2020,95% Conf.Int,800
Total,"A - Agriculture, forestry and fishing",2021,Number (main and second job),8300
Total,"A - Agriculture, forestry and fishing",2021,95% Conf.Int,900
Total,"A - Agriculture, forestry and fishing",2022,Number (main and second job),9000
Total,"A - Agriculture, forestry and fishing",2022,95% Conf.Int,1000
Total,"A - Agriculture, forestry and fishing",2023,Number (main and second job),8300
Total,"A - Agriculture, forestry and fishing",2023,95% Conf.Int,1000
Total,"A - Agriculture, forestry and fishing",2024,Number (main and second job),8600
Total,"A - Agriculture, forestry and fishing",2024,95% Conf.Int,1000
Total,"A - Agriculture, forestry and fishing",2025,Number (main and second job),9800
Total,"A - Agriculture, forestry and fishing",2025,95% Conf.Int,1100
Total,"A:1 - Crop and animal production, hunting and related service activities",1991,Number (main and second job),7500
Total,"A:1 - Crop and animal production, hunting and related service activities",1991,95% Conf.Int,900
Total,"A:1 - Crop and animal production, hunting and related service activities",1992,Number (main and second job),7400
Total,"A:1 - Crop and animal production, hunting and related service activities",1992,95% Conf.Int,800
Total,"A:1 - Crop and animal production, hunting and related service activities",1993,Number (main and second job),5800
Total,"A:1 - Crop and animal production, hunting and related service activities",1993,95% Conf.Int,700
Total,"A:1 - Crop and animal production, hunting and related service activities",1994,Number (main and second job),5900
Total,"A:1 - Crop and animal production, hunting and related service activities",1994,95% Conf.Int,700
Total,"A:1 - Crop and animal production, hunting and related service activities",1995,Number (main and second job),6200
Total,"A:1 - Crop and animal production, hunting and related service activities",1995,95% Conf.Int,700
Total,"A:1 - Crop and animal production, hunting and related service activities",1996,Number (main and second job),6000
Total,"A:1 - Crop and animal production, hunting and related service activities",1996,95% Conf.Int,700
Total,"A:1 - Crop and animal production, hunting and related service activities",1997,Number (main and second job),5700
Total,"A:1 - Crop and animal production, hunting and related service activities",1997,95% Conf.Int,700
Total,"A:1 - Crop and animal production, hunting and related service activities",1998,Number (main and second job),6300
Total,"A:1 - Crop and animal production, hunting and related service activities",1998,95% Conf.Int,800
Total,"A:1 - Crop and animal production, hunting and related service activities",1999,Number (main and second job),6200
Total,"A:1 - Crop and animal production, hunting and related service activities",1999,95% Conf.Int,800
Total,"A:1 - Crop and animal production, hunting and related service activities",2000,Number (main and second job),6500
Total,"A:1 - Crop and animal production, hunting and related service activities",2000,95% Conf.Int,800
Total,"A:1 - Crop and animal production, hunting and related service activities",2001,Number (main and second job),5800
Total,"A:1 - Crop and animal production, hunting and related service activities",2001,95% Conf.Int,800
Total,"A:1 - Crop and animal production, hunting and related service activities",2002,Number (main and second job),5500
Total,"A:1 - Crop and animal production, hunting and related service activities",2002,95% Conf.Int,800
Total,"A:1 - Crop and animal production, hunting and related service activities",2003,Number (main and second job),5400
Total,"A:1 - Crop and animal production, hunting and related service activities",2003,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2004,Number (main and second job),5300
Total,"A:1 - Crop and animal production, hunting and related service activities",2004,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2005,Number (main and second job),5700
Total,"A:1 - Crop and animal production, hunting and related service activities",2005,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2006,Number (main and second job),6200
Total,"A:1 - Crop and animal production, hunting and related service activities",2006,95% Conf.Int,700
Total,"A:1 - Crop and animal production, hunting and related service activities",2007,Number (main and second job),5300
Total,"A:1 - Crop and animal production, hunting and related service activities",2007,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2008,Number (main and second job),4400
Total,"A:1 - Crop and animal production, hunting and related service activities",2008,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2009,Number (main and second job),4300
Total,"A:1 - Crop and animal production, hunting and related service activities",2009,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2010,Number (main and second job),4800
Total,"A:1 - Crop and animal production, hunting and related service activities",2010,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2011,Number (main and second job),5000
Total,"A:1 - Crop and animal production, hunting and related service activities",2011,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2012,Number (main and second job),5000
Total,"A:1 - Crop and animal production, hunting and related service activities",2012,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2013,Number (main and second job),4700
Total,"A:1 - Crop and animal production, hunting and related service activities",2013,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2014,Number (main and second job),4000
Total,"A:1 - Crop and animal production, hunting and related service activities",2014,95% Conf.Int,500
Total,"A:1 - Crop and animal production, hunting and related service activities",2015,Number (main and second job),3900
Total,"A:1 - Crop and animal production, hunting and related service activities",2015,95% Conf.Int,500
Total,"A:1 - Crop and animal production, hunting and related service activities",2016,Number (main and second job),3600
Total,"A:1 - Crop and animal production, hunting and related service activities",2016,95% Conf.Int,500
Total,"A:1 - Crop and animal production, hunting and related service activities",2017,Number (main and second job),3700
Total,"A:1 - Crop and animal production, hunting and related service activities",2017,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2018,Number (main and second job),3300
Total,"A:1 - Crop and animal production, hunting and related service activities",2018,95% Conf.Int,500
Total,"A:1 - Crop and animal production, hunting and related service activities",2019,Number (main and second job),3500
Total,"A:1 - Crop and animal production, hunting and related service activities",2019,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2020,Number (main and second job),3800
Total,"A:1 - Crop and animal production, hunting and related service activities",2020,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2021,Number (main and second job),4200
Total,"A:1 - Crop and animal production, hunting and related service activities",2021,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2022,Number (main and second job),4100
Total,"A:1 - Crop and animal production, hunting and related service activities",2022,95% Conf.Int,600
Total,"A:1 - Crop and animal production, hunting and related service activities",2023,Number (main and second job),3900
Total,"A:1 - Crop and animal production, hunting and related service activities",2023,95% Conf.Int,700
Total,"A:1 - Crop and animal production, hunting and related service activities",2024,Number (main and second job),4700
Total,"A:1 - Crop and animal production, hunting and related service activities",2024,95% Conf.Int,800
Total,"A:1 - Crop and animal production, hunting and related service activities",2025,Number (main and second job),5500
Total,"A:1 - Crop and animal production, hunting and related service activities",2025,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,1991,Number (main and second job),6100
Total,A:3 - Fishing and aquaculture,1991,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,1992,Number (main and second job),6700
Total,A:3 - Fishing and aquaculture,1992,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,1993,Number (main and second job),6600
Total,A:3 - Fishing and aquaculture,1993,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,1994,Number (main and second job),6400
Total,A:3 - Fishing and aquaculture,1994,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,1995,Number (main and second job),6800
Total,A:3 - Fishing and aquaculture,1995,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,1996,Number (main and second job),6900
Total,A:3 - Fishing and aquaculture,1996,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,1997,Number (main and second job),6100
Total,A:3 - Fishing and aquaculture,1997,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,1998,Number (main and second job),6100
Total,A:3 - Fishing and aquaculture,1998,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,1999,Number (main and second job),7000
Total,A:3 - Fishing and aquaculture,1999,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,2000,Number (main and second job),6100
Total,A:3 - Fishing and aquaculture,2000,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,2001,Number (main and second job),5900
Total,A:3 - Fishing and aquaculture,2001,95% Conf.Int,800
Total,A:3 - Fishing and aquaculture,2002,Number (main and second job),5400
Total,A:3 - Fishing and aquaculture,2002,95% Conf.Int,700
Total,A:3 - Fishing and aquaculture,2003,Number (main and second job),5000
Total,A:3 - Fishing and aquaculture,2003,95% Conf.Int,500
Total,A:3 - Fishing and aquaculture,2004,Number (main and second job),4600
Total,A:3 - Fishing and aquaculture,2004,95% Conf.Int,500
Total,A:3 - Fishing and aquaculture,2005,Number (main and second job),5200
Total,A:3 - Fishing and aquaculture,2005,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2006,Number (main and second job),4900
Total,A:3 - Fishing and aquaculture,2006,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2007,Number (main and second job),4600
Total,A:3 - Fishing and aquaculture,2007,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2008,Number (main and second job),4500
Total,A:3 - Fishing and aquaculture,2008,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2009,Number (main and second job),4900
Total,A:3 - Fishing and aquaculture,2009,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2010,Number (main and second job),5300
Total,A:3 - Fishing and aquaculture,2010,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2011,Number (main and second job),5300
Total,A:3 - Fishing and aquaculture,2011,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2012,Number (main and second job),5000
Total,A:3 - Fishing and aquaculture,2012,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2013,Number (main and second job),3900
Total,A:3 - Fishing and aquaculture,2013,95% Conf.Int,500
Total,A:3 - Fishing and aquaculture,2014,Number (main and second job),4800
Total,A:3 - Fishing and aquaculture,2014,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2015,Number (main and second job),4500
Total,A:3 - Fishing and aquaculture,2015,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2016,Number (main and second job),4800
Total,A:3 - Fishing and aquaculture,2016,95% Conf.Int,700
Total,A:3 - Fishing and aquaculture,2017,Number (main and second job),4700
Total,A:3 - Fishing and aquaculture,2017,95% Conf.Int,700
Total,A:3 - Fishing and aquaculture,2018,Number (main and second job),5400
Total,A:3 - Fishing and aquaculture,2018,95% Conf.Int,700
Total,A:3 - Fishing and aquaculture,2019,Number (main and second job),4900
Total,A:3 - Fishing and aquaculture,2019,95% Conf.Int,700
Total,A:3 - Fishing and aquaculture,2020,Number (main and second job),4300
Total,A:3 - Fishing and aquaculture,2020,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2021,Number (main and second job),4000
Total,A:3 - Fishing and aquaculture,2021,95% Conf.Int,600
Total,A:3 - Fishing and aquaculture,2022,Number (main and second job),4600
Total,A:3 - Fishing and aquaculture,2022,95% Conf.Int,700
Total,A:3 - Fishing and aquaculture,2023,Number (main and second job),4100
Total,A:3 - Fishing and aquaculture,2023,95% Conf.Int,700
Total,A:3 - Fishing and aquaculture,2024,Number (main and second job),3800
Total,A:3 - Fishing and aquaculture,2024,95% Conf.Int,700
Total,A:3 - Fishing and aquaculture,2025,Number (main and second job),4100
