Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,C:24 - Manufacture of basic metals,2013,95% Conf.Int,400
Total,C:24 - Manufacture of basic metals,2014,Number (main and second job),2200
Total,C:24 - Manufacture of basic metals,2014,95% Conf.Int,400
Total,C:24 - Manufacture of basic metals,2015,Number (main and second job),2300
Total,C:24 - Manufacture of basic metals,2015,95% Conf.Int,400
Total,C:24 - Manufacture of basic metals,2016,Number (main and second job),2200
Total,C:24 - Manufacture of basic metals,2016,95% Conf.Int,400
Total,C:24 - Manufacture of basic metals,2017,Number (main and second job),2300
Total,C:24 - Manufacture of basic metals,2017,95% Conf.Int,500
Total,C:24 - Manufacture of basic metals,2018,Number (main and second job),1800
Total,C:24 - Manufacture of basic metals,2018,95% Conf.Int,400
Total,C:24 - Manufacture of basic metals,2019,Number (main and second job),1900
Total,C:24 - Manufacture of basic metals,2019,95% Conf.Int,500
Total,C:24 - Manufacture of basic metals,2020,Number (main and second job),2100
Total,C:24 - Manufacture of basic metals,2020,95% Conf.Int,400
Total,C:24 - Manufacture of basic metals,2021,Number (main and second job),1500
Total,C:24 - Manufacture of basic metals,2021,95% Conf.Int,400
Total,C:24 - Manufacture of basic metals,2022,Number (main and second job),1900
Total,C:24 - Manufacture of basic metals,2022,95% Conf.Int,400
Total,C:24 - Manufacture of basic metals,2023,Number (main and second job),2000
Total,C:24 - Manufacture of basic metals,2023,95% Conf.Int,500
Total,C:24 - Manufacture of basic metals,2024,Number (main and second job),2400
Total,C:24 - Manufacture of basic metals,2024,95% Conf.Int,600
Total,C:24 - Manufacture of basic metals,2025,Number (main and second job),2100
Total,C:24 - Manufacture of basic metals,2025,95% Conf.Int,600
Total,D-E - Electricity and Water supply,1991,Number (main and second job),1700
Total,D-E - Electricity and Water supply,1991,95% Conf.Int,400
Total,D-E - Electricity and Water supply,1992,Number (main and second job),1600
Total,D-E - Electricity and Water supply,1992,95% Conf.Int,400
Total,D-E - Electricity and Water supply,1993,Number (main and second job),1800
Total,D-E - Electricity and Water supply,1993,95% Conf.Int,400
Total,D-E - Electricity and Water supply,1994,Number (main and second job),2000
Total,D-E - Electricity and Water supply,1994,95% Conf.Int,400
Total,D-E - Electricity and Water supply,1995,Number (main and second job),2000
Total,D-E - Electricity and Water supply,1995,95% Conf.Int,400
Total,D-E - Electricity and Water supply,1996,Number (main and second job),1800
Total,D-E - Electricity and Water supply,1996,95% Conf.Int,400
Total,D-E - Electricity and Water supply,1997,Number (main and second job),1600
Total,D-E - Electricity and Water supply,1997,95% Conf.Int,400
Total,D-E - Electricity and Water supply,1998,Number (main and second job),1800
Total,D-E - Electricity and Water supply,1998,95% Conf.Int,400
Total,D-E - Electricity and Water supply,1999,Number (main and second job),1700
Total,D-E - Electricity and Water supply,1999,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2000,Number (main and second job),1900
Total,D-E - Electricity and Water supply,2000,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2001,Number (main and second job),2100
Total,D-E - Electricity and Water supply,2001,95% Conf.Int,500
Total,D-E - Electricity and Water supply,2002,Number (main and second job),1900
Total,D-E - Electricity and Water supply,2002,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2003,Number (main and second job),2100
Total,D-E - Electricity and Water supply,2003,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2004,Number (main and second job),2500
Total,D-E - Electricity and Water supply,2004,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2005,Number (main and second job),2400
Total,D-E - Electricity and Water supply,2005,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2006,Number (main and second job),2200
Total,D-E - Electricity and Water supply,2006,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2007,Number (main and second job),2600
Total,D-E - Electricity and Water supply,2007,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2008,Number (main and second job),2500
Total,D-E - Electricity and Water supply,2008,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2009,Number (main and second job),2300
Total,D-E - Electricity and Water supply,2009,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2010,Number (main and second job),2300
Total,D-E - Electricity and Water supply,2010,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2011,Number (main and second job),2100
Total,D-E - Electricity and Water supply,2011,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2012,Number (main and second job),2000
Total,D-E - Electricity and Water supply,2012,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2013,Number (main and second job),2000
Total,D-E - Electricity and Water supply,2013,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2014,Number (main and second job),2400
Total,D-E - Electricity and Water supply,2014,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2015,Number (main and second job),2200
Total,D-E - Electricity and Water supply,2015,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2016,Number (main and second job),2300
Total,D-E - Electricity and Water supply,2016,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2017,Number (main and second job),2600
Total,D-E - Electricity and Water supply,2017,95% Conf.Int,500
Total,D-E - Electricity and Water supply,2018,Number (main and second job),2600
Total,D-E - Electricity and Water supply,2018,95% Conf.Int,400
Total,D-E - Electricity and Water supply,2019,Number (main and second job),2700
Total,D-E - Electricity and Water supply,2019,95% Conf.Int,500
Total,D-E - Electricity and Water supply,2020,Number (main and second job),3000
Total,D-E - Electricity and Water supply,2020,95% Conf.Int,500
Total,D-E - Electricity and Water supply,2021,Number (main and second job),2800
Total,D-E - Electricity and Water supply,2021,95% Conf.Int,500
Total,D-E - Electricity and Water supply,2022,Number (main and second job),3300
Total,D-E - Electricity and Water supply,2022,95% Conf.Int,600
Total,D-E - Electricity and Water supply,2023,Number (main and second job),3600
Total,D-E - Electricity and Water supply,2023,95% Conf.Int,700
Total,D-E - Electricity and Water supply,2024,Number (main and second job),3500
Total,D-E - Electricity and Water supply,2024,95% Conf.Int,700
Total,D-E - Electricity and Water supply,2025,Number (main and second job),3500
Total,D-E - Electricity and Water supply,2025,95% Conf.Int,700
Total,"D - Electricity, gas, steam and air conditioning supply",1991,Number (main and second job),1600
Total,"D - Electricity, gas, steam and air conditioning supply",1991,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",1992,Number (main and second job),1400
Total,"D - Electricity, gas, steam and air conditioning supply",1992,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",1993,Number (main and second job),1400
Total,"D - Electricity, gas, steam and air conditioning supply",1993,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",1994,Number (main and second job),1500
Total,"D - Electricity, gas, steam and air conditioning supply",1994,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",1995,Number (main and second job),1300
Total,"D - Electricity, gas, steam and air conditioning supply",1995,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",1996,Number (main and second job),1100
Total,"D - Electricity, gas, steam and air conditioning supply",1996,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",1997,Number (main and second job),1100
Total,"D - Electricity, gas, steam and air conditioning supply",1997,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",1998,Number (main and second job),1300
Total,"D - Electricity, gas, steam and air conditioning supply",1998,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",1999,Number (main and second job),1100
Total,"D - Electricity, gas, steam and air conditioning supply",1999,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2000,Number (main and second job),1200
Total,"D - Electricity, gas, steam and air conditioning supply",2000,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2001,Number (main and second job),1400
Total,"D - Electricity, gas, steam and air conditioning supply",2001,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",2002,Number (main and second job),1400
Total,"D - Electricity, gas, steam and air conditioning supply",2002,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",2003,Number (main and second job),1600
Total,"D - Electricity, gas, steam and air conditioning supply",2003,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2004,Number (main and second job),1900
Total,"D - Electricity, gas, steam and air conditioning supply",2004,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2005,Number (main and second job),1600
Total,"D - Electricity, gas, steam and air conditioning supply",2005,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2006,Number (main and second job),1400
Total,"D - Electricity, gas, steam and air conditioning supply",2006,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2007,Number (main and second job),1700
Total,"D - Electricity, gas, steam and air conditioning supply",2007,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2008,Number (main and second job),1600
Total,"D - Electricity, gas, steam and air conditioning supply",2008,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2009,Number (main and second job),1400
Total,"D - Electricity, gas, steam and air conditioning supply",2009,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2010,Number (main and second job),1500
Total,"D - Electricity, gas, steam and air conditioning supply",2010,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2011,Number (main and second job),1500
Total,"D - Electricity, gas, steam and air conditioning supply",2011,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2012,Number (main and second job),1200
Total,"D - Electricity, gas, steam and air conditioning supply",2012,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2013,Number (main and second job),1200
Total,"D - Electricity, gas, steam and air conditioning supply",2013,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2014,Number (main and second job),1400
Total,"D - Electricity, gas, steam and air conditioning supply",2014,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2015,Number (main and second job),1400
Total,"D - Electricity, gas, steam and air conditioning supply",2015,95% Conf.Int,300
Total,"D - Electricity, gas, steam and air conditioning supply",2016,Number (main and second job),1600
Total,"D - Electricity, gas, steam and air conditioning supply",2016,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",2017,Number (main and second job),1600
Total,"D - Electricity, gas, steam and air conditioning supply",2017,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",2018,Number (main and second job),1800
Total,"D - Electricity, gas, steam and air conditioning supply",2018,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",2019,Number (main and second job),1900
Total,"D - Electricity, gas, steam and air conditioning supply",2019,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",2020,Number (main and second job),2200
Total,"D - Electricity, gas, steam and air conditioning supply",2020,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",2021,Number (main and second job),1900
Total,"D - Electricity, gas, steam and air conditioning supply",2021,95% Conf.Int,400
Total,"D - Electricity, gas, steam and air conditioning supply",2022,Number (main and second job),2100
Total,"D - Electricity, gas, steam and air conditioning supply",2022,95% Conf.Int,500
Total,"D - Electricity, gas, steam and air conditioning supply",2023,Number (main and second job),2200
Total,"D - Electricity, gas, steam and air conditioning supply",2023,95% Conf.Int,500
Total,"D - Electricity, gas, steam and air conditioning supply",2024,Number (main and second job),2100
Total,"D - Electricity, gas, steam and air conditioning supply",2024,95% Conf.Int,500
Total,"D - Electricity, gas, steam and air conditioning supply",2025,Number (main and second job),2300
Total,"D - Electricity, gas, steam and air conditioning supply",2025,95% Conf.Int,600
Total,"E - Water supply; sewerage, waste management and remediation activities",1991,Number (main and second job),100
Total,"E - Water supply; sewerage, waste management and remediation activities",1991,95% Conf.Int,100
Total,"E - Water supply; sewerage, waste management and remediation activities",1992,Number (main and second job),200
Total,"E - Water supply; sewerage, waste management and remediation activities",1992,95% Conf.Int,100
Total,"E - Water supply; sewerage, waste management and remediation activities",1993,Number (main and second job),400
Total,"E - Water supply; sewerage, waste management and remediation activities",1993,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",1994,Number (main and second job),500
Total,"E - Water supply; sewerage, waste management and remediation activities",1994,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",1995,Number (main and second job),700
Total,"E - Water supply; sewerage, waste management and remediation activities",1995,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",1996,Number (main and second job),700
Total,"E - Water supply; sewerage, waste management and remediation activities",1996,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",1997,Number (main and second job),600
Total,"E - Water supply; sewerage, waste management and remediation activities",1997,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",1998,Number (main and second job),500
Total,"E - Water supply; sewerage, waste management and remediation activities",1998,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",1999,Number (main and second job),600
Total,"E - Water supply; sewerage, waste management and remediation activities",1999,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2000,Number (main and second job),700
Total,"E - Water supply; sewerage, waste management and remediation activities",2000,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2001,Number (main and second job),700
Total,"E - Water supply; sewerage, waste management and remediation activities",2001,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2002,Number (main and second job),600
Total,"E - Water supply; sewerage, waste management and remediation activities",2002,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2003,Number (main and second job),500
Total,"E - Water supply; sewerage, waste management and remediation activities",2003,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2004,Number (main and second job),700
Total,"E - Water supply; sewerage, waste management and remediation activities",2004,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2005,Number (main and second job),800
Total,"E - Water supply; sewerage, waste management and remediation activities",2005,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2006,Number (main and second job),800
Total,"E - Water supply; sewerage, waste management and remediation activities",2006,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2007,Number (main and second job),1000
Total,"E - Water supply; sewerage, waste management and remediation activities",2007,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2008,Number (main and second job),900
Total,"E - Water supply; sewerage, waste management and remediation activities",2008,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2009,Number (main and second job),900
Total,"E - Water supply; sewerage, waste management and remediation activities",2009,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2010,Number (main and second job),800
Total,"E - Water supply; sewerage, waste management and remediation activities",2010,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2011,Number (main and second job),600
Total,"E - Water supply; sewerage, waste management and remediation activities",2011,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2012,Number (main and second job),800
Total,"E - Water supply; sewerage, waste management and remediation activities",2012,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2013,Number (main and second job),800
Total,"E - Water supply; sewerage, waste management and remediation activities",2013,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2014,Number (main and second job),900
Total,"E - Water supply; sewerage, waste management and remediation activities",2014,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2015,Number (main and second job),800
Total,"E - Water supply; sewerage, waste management and remediation activities",2015,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2016,Number (main and second job),700
Total,"E - Water supply; sewerage, waste management and remediation activities",2016,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2017,Number (main and second job),1000
Total,"E - Water supply; sewerage, waste management and remediation activities",2017,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2018,Number (main and second job),800
Total,"E - Water supply; sewerage, waste management and remediation activities",2018,95% Conf.Int,200
Total,"E - Water supply; sewerage, waste management and remediation activities",2019,Number (main and second job),800
Total,"E - Water supply; sewerage, waste management and remediation activities",2019,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2020,Number (main and second job),800
Total,"E - Water supply; sewerage, waste management and remediation activities",2020,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2021,Number (main and second job),900
Total,"E - Water supply; sewerage, waste management and remediation activities",2021,95% Conf.Int,300
Total,"E - Water supply; sewerage, waste management and remediation activities",2022,Number (main and second job),1200
Total,"E - Water supply; sewerage, waste management and remediation activities",2022,95% Conf.Int,400
Total,"E - Water supply; sewerage, waste management and remediation activities",2023,Number (main and second job),1400
Total,"E - Water supply; sewerage, waste management and remediation activities",2023,95% Conf.Int,400
Total,"E - Water supply; sewerage, waste management and remediation activities",2024,Number (main and second job),1400
Total,"E - Water supply; sewerage, waste management and remediation activities",2024,95% Conf.Int,400
Total,"E - Water supply; sewerage, waste management and remediation activities",2025,Number (main and second job),1200
Total,"E - Water supply; sewerage, waste management and remediation activities",2025,95% Conf.Int,400
Total,F - Construction,1991,Number (main and second job),9700
Total,F - Construction,1991,95% Conf.Int,1000
Total,F - Construction,1992,Number (main and second job),9500
Total,F - Construction,1992,95% Conf.Int,900
Total,F - Construction,1993,Number (main and second job),9500
Total,F - Construction,1993,95% Conf.Int,900
Total,F - Construction,1994,Number (main and second job),9700
Total,F - Construction,1994,95% Conf.Int,900
Total,F - Construction,1995,Number (main and second job),9700
Total,F - Construction,1995,95% Conf.Int,900
Total,F - Construction,1996,Number (main and second job),9300
Total,F - Construction,1996,95% Conf.Int,900
Total,F - Construction,1997,Number (main and second job),10000
Total,F - Construction,1997,95% Conf.Int,1000
Total,F - Construction,1998,Number (main and second job),10800
Total,F - Construction,1998,95% Conf.Int,1000
Total,F - Construction,1999,Number (main and second job),10600
Total,F - Construction,1999,95% Conf.Int,1000
Total,F - Construction,2000,Number (main and second job),10500
Total,F - Construction,2000,95% Conf.Int,1000
Total,F - Construction,2001,Number (main and second job),11300
Total,F - Construction,2001,95% Conf.Int,1100
Total,F - Construction,2002,Number (main and second job),12000
Total,F - Construction,2002,95% Conf.Int,1100
Total,F - Construction,2003,Number (main and second job),11200
Total,F - Construction,2003,95% Conf.Int,800
Total,F - Construction,2004,Number (main and second job),11700
Total,F - Construction,2004,95% Conf.Int,900
Total,F - Construction,2005,Number (main and second job),12900
Total,F - Construction,2005,95% Conf.Int,900
Total,F - Construction,2006,Number (main and second job),15300
Total,F - Construction,2006,95% Conf.Int,1000
Total,F - Construction,2007,Number (main and second job),16500
Total,F - Construction,2007,95% Conf.Int,1100
Total,F - Construction,2008,Number (main and second job),18200
Total,F - Construction,2008,95% Conf.Int,1200
Total,F - Construction,2009,Number (main and second job),11800
Total,F - Construction,2009,95% Conf.Int,900
Total,F - Construction,2010,Number (main and second job),10900
Total,F - Construction,2010,95% Conf.Int,900
Total,F - Construction,2011,Number (main and second job),10300
Total,F - Construction,2011,95% Conf.Int,900
Total,F - Construction,2012,Number (main and second job),9600
Total,F - Construction,2012,95% Conf.Int,800
Total,F - Construction,2013,Number (main and second job),10600
Total,F - Construction,2013,95% Conf.Int,900
Total,F - Construction,2014,Number (main and second job),10800
Total,F - Construction,2014,95% Conf.Int,900
Total,F - Construction,2015,Number (main and second job),12100
Total,F - Construction,2015,95% Conf.Int,1000
Total,F - Construction,2016,Number (main and second job),12500
Total,F - Construction,2016,95% Conf.Int,1100
Total,F - Construction,2017,Number (main and second job),13000
Total,F - Construction,2017,95% Conf.Int,1100
Total,F - Construction,2018,Number (main and second job),12800
Total,F - Construction,2018,95% Conf.Int,1000
Total,F - Construction,2019,Number (main and second job),13300
Total,F - Construction,2019,95% Conf.Int,1100
Total,F - Construction,2020,Number (main and second job),12800
Total,F - Construction,2020,95% Conf.Int,1100
Total,F - Construction,2021,Number (main and second job),14900
Total,F - Construction,2021,95% Conf.Int,1200
Total,F - Construction,2022,Number (main and second job),16000
Total,F - Construction,2022,95% Conf.Int,1300
Total,F - Construction,2023,Number (main and second job),15100
Total,F - Construction,2023,95% Conf.Int,1400
Total,F - Construction,2024,Number (main and second job),17200
Total,F - Construction,2024,95% Conf.Int,1500
Total,F - Construction,2025,Number (main and second job),18400
Total,F - Construction,2025,95% Conf.Int,1500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1991,Number (main and second job),20500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1991,95% Conf.Int,1500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1992,Number (main and second job),21500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1992,95% Conf.Int,1400
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1993,Number (main and second job),20100
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1993,95% Conf.Int,1400
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1994,Number (main and second job),17600
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1994,95% Conf.Int,1300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1995,Number (main and second job),19000
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1995,95% Conf.Int,1300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1996,Number (main and second job),19100
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1996,95% Conf.Int,1300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1997,Number (main and second job),19800
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1997,95% Conf.Int,1400
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1998,Number (main and second job),20200
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1998,95% Conf.Int,1400
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1999,Number (main and second job),21100
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1999,95% Conf.Int,1400
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2000,Number (main and second job),21900
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2000,95% Conf.Int,1500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2001,Number (main and second job),23100
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2001,95% Conf.Int,1500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2002,Number (main and second job),21200
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2002,95% Conf.Int,1500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2003,Number (main and second job),20600
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2003,95% Conf.Int,1100
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2004,Number (main and second job),20500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2004,95% Conf.Int,1100
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2005,Number (main and second job),23000
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2005,95% Conf.Int,1200
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2006,Number (main and second job),24100
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2006,95% Conf.Int,1200
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2007,Number (main and second job),25300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2007,95% Conf.Int,1300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2008,Number (main and second job),23900
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2008,95% Conf.Int,1300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2009,Number (main and second job),21600
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2009,95% Conf.Int,1200
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2010,Number (main and second job),20800
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2010,95% Conf.Int,1200
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2011,Number (main and second job),21900
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2011,95% Conf.Int,1200
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2012,Number (main and second job),22900
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2012,95% Conf.Int,1200
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2013,Number (main and second job),23900
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2013,95% Conf.Int,1300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2014,Number (main and second job),23300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2014,95% Conf.Int,1300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2015,Number (main and second job),24300
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2015,95% Conf.Int,1400
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2016,Number (main and second job),26400
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2016,95% Conf.Int,1500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2017,Number (main and second job),26500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2017,95% Conf.Int,1600
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Number (main and second job),25700
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,95% Conf.Int,1500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,Number (main and second job),25000
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,95% Conf.Int,1500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2020,Number (main and second job),23500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2020,95% Conf.Int,1400
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,Number (main and second job),24700
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,95% Conf.Int,1500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2022,Number (main and second job),25400
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2022,95% Conf.Int,1600
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,Number (main and second job),26500
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,95% Conf.Int,1800
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,Number (main and second job),27600
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,95% Conf.Int,2000
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2025,Number (main and second job),27100
Total,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2025,95% Conf.Int,1800
Total,H - Transportation and storage,1991,Number (main and second job),7600
Total,H - Transportation and storage,1991,95% Conf.Int,900
Total,H - Transportation and storage,1992,Number (main and second job),7600
Total,H - Transportation and storage,1992,95% Conf.Int,800
Total,H - Transportation and storage,1993,Number (main and second job),8300
Total,H - Transportation and storage,1993,95% Conf.Int,900
Total,H - Transportation and storage,1994,Number (main and second job),7900
Total,H - Transportation and storage,1994,95% Conf.Int,800
Total,H - Transportation and storage,1995,Number (main and second job),7800
Total,H - Transportation and storage,1995,95% Conf.Int,800
Total,H - Transportation and storage,1996,Number (main and second job),8500
Total,H - Transportation and storage,1996,95% Conf.Int,900
Total,H - Transportation and storage,1997,Number (main and second job),8400
Total,H - Transportation and storage,1997,95% Conf.Int,900
Total,H - Transportation and storage,1998,Number (main and second job),9100
Total,H - Transportation and storage,1998,95% Conf.Int,900
Total,H - Transportation and storage,1999,Number (main and second job),10100
Total,H - Transportation and storage,1999,95% Conf.Int,1000
Total,H - Transportation and storage,2000,Number (main and second job),9000
Total,H - Transportation and storage,2000,95% Conf.Int,900
Total,H - Transportation and storage,2001,Number (main and second job),7700
